Date,AveragePrice
2015-01-04,1.02
2015-01-11,1.25
2015-01-18,1.14
2015-01-25,1.06
2015-02-01,0.92
2015-02-08,0.98
2015-02-15,1.3
2015-02-22,1.34
2015-03-01,1.13
2015-03-08,1.07
2015-03-15,1.21
2015-03-22,1.11
2015-03-29,1.09
2015-04-05,1.17
2015-04-12,1.15
2015-04-19,1.08
2015-04-26,1.24
2015-05-03,1.13
2015-05-10,1.06
2015-05-17,1.26
2015-05-24,1.29
2015-05-31,1.37
2015-06-07,1.28
2015-06-14,1.15
2015-06-21,1.03
2015-06-28,0.95
2015-07-05,1.05
2015-07-12,1.05
2015-07-19,1.07
2015-07-26,1.22
2015-08-02,1.21
2015-08-09,1.2
2015-08-16,1.14
2015-08-23,1.22
2015-08-30,1.17
2015-09-06,1.11
2015-09-13,0.87
2015-09-20,0.91
2015-09-27,1.04
2015-10-04,0.98
2015-10-11,1.1
2015-10-18,0.97
2015-10-25,1.02
2015-11-01,1.01
2015-11-08,0.96
2015-11-15,1.08
2015-11-22,1.11
2015-11-29,1.08
2015-12-06,0.92
2015-12-13,1.03
2015-12-20,1.1
2015-12-27,1.04
2016-01-03,0.95
2016-01-10,1.0
2016-01-17,0.97
2016-01-24,0.93
2016-01-31,0.98
2016-02-07,0.88
2016-02-14,0.83
2016-02-21,1.03
2016-02-28,0.99
2016-03-06,0.96
2016-03-13,1.03
2016-03-20,1.12
2016-03-27,0.99
2016-04-03,0.99
2016-04-10,1.07
2016-04-17,0.97
2016-04-24,0.95
2016-05-01,0.92
2016-05-08,0.93
2016-05-15,0.88
2016-05-22,0.87
2016-05-29,1.01
2016-06-05,1.05
2016-06-12,1.12
2016-06-19,1.13
2016-06-26,1.15
2016-07-03,1.1
2016-07-10,1.12
2016-07-17,1.08
2016-07-24,1.2
2016-07-31,1.27
2016-08-07,1.33
2016-08-14,1.27
2016-08-21,1.3
2016-08-28,1.27
2016-09-04,1.31
2016-09-11,1.29
2016-09-18,1.26
2016-09-25,1.39
2016-10-02,1.31
2016-10-09,1.2
2016-10-16,1.27
2016-10-23,1.31
2016-10-30,1.2
2016-11-06,1.37
2016-11-13,1.29
2016-11-20,1.29
2016-11-27,1.34
2016-12-04,1.18
2016-12-11,1.17
2016-12-18,1.19
2016-12-25,1.13
2017-01-01,0.91
2017-01-08,0.86
2017-01-15,0.96
2017-01-22,0.93
2017-01-29,0.87
2017-02-05,0.84
2017-02-12,0.77
2017-02-19,0.94
2017-02-26,1.02
2017-03-05,1.35
2017-03-12,1.35
2017-03-19,1.25
2017-03-26,1.27
2017-04-02,1.26
2017-04-09,1.3
2017-04-16,1.14
2017-04-23,1.06
2017-04-30,1.18
2017-05-07,0.93
2017-05-14,0.85
2017-05-21,1.09
2017-05-28,1.19
2017-06-04,1.07
2017-06-11,0.98
2017-06-18,1.03
2017-06-25,1.04
2017-07-02,1.09
2017-07-09,1.08
2017-07-16,1.35
2017-07-23,1.36
2017-07-30,1.41
2017-08-06,1.35
2017-08-13,1.49
2017-08-20,1.39
2017-08-27,1.29
2017-09-03,1.7
2017-09-10,1.86
2017-09-17,1.86
2017-09-24,1.74
2017-10-01,1.84
2017-10-08,1.97
2017-10-15,1.76
2017-10-22,1.67
2017-10-29,1.63
2017-11-05,1.26
2017-11-12,1.03
2017-11-19,1.08
2017-11-26,1.4
2017-12-03,1.25
2017-12-10,1.26
2017-12-17,1.26
2017-12-24,1.3
2017-12-31,0.96
2018-01-07,0.95
2018-01-14,1.2
2018-01-21,1.03
2018-01-28,0.92
2018-02-04,0.79
2018-02-11,0.81
2018-02-18,0.91
2018-02-25,1.06
2018-03-04,1.09
2018-03-11,1.0
2018-03-18,1.01
2018-03-25,1.05
