Date,AveragePrice
2015-01-04,0.97
2015-01-11,1.2
2015-01-18,1.27
2015-01-25,1.2
2015-02-01,0.92
2015-02-08,1.21
2015-02-15,1.24
2015-02-22,1.1
2015-03-01,1.01
2015-03-08,1.24
2015-03-15,1.27
2015-03-22,0.96
2015-03-29,1.2
2015-04-05,1.1
2015-04-12,0.99
2015-04-19,1.17
2015-04-26,1.21
2015-05-03,0.96
2015-05-10,1.24
2015-05-17,1.22
2015-05-24,1.0
2015-05-31,1.24
2015-06-07,0.98
2015-06-14,1.2
2015-06-21,0.95
2015-06-28,1.16
2015-07-05,0.95
2015-07-12,1.22
2015-07-19,1.0
2015-07-26,1.25
2015-08-02,1.24
2015-08-09,0.99
2015-08-16,1.25
2015-08-23,1.25
2015-08-30,1.26
2015-09-06,0.98
2015-09-13,1.24
2015-09-20,0.99
2015-09-27,1.27
2015-10-04,0.99
2015-10-11,0.99
2015-10-18,1.25
2015-10-25,1.22
2015-11-01,0.97
2015-11-08,1.25
2015-11-15,1.25
2015-11-22,0.98
2015-11-29,0.96
2015-12-06,1.19
2015-12-13,0.96
2015-12-20,1.19
2015-12-27,0.99
2016-01-03,1.09
2016-01-10,0.95
2016-01-17,1.21
2016-01-24,0.93
2016-01-31,1.04
2016-02-07,0.54
2016-02-14,0.95
2016-02-21,1.01
2016-02-28,0.77
2016-03-06,1.06
2016-03-13,0.81
2016-03-20,1.07
2016-03-27,1.06
2016-04-03,1.01
2016-04-10,0.8
2016-04-17,1.0
2016-04-24,0.8
2016-05-01,0.68
2016-05-08,0.8
2016-05-15,0.79
2016-05-22,1.17
2016-05-29,0.92
2016-06-05,0.95
2016-06-12,1.2
2016-06-19,0.94
2016-06-26,1.19
2016-07-03,0.93
2016-07-10,1.19
2016-07-17,1.22
2016-07-24,1.21
2016-07-31,1.23
2016-08-07,1.23
2016-08-14,1.11
2016-08-21,1.11
2016-08-28,1.14
2016-09-04,0.94
2016-09-11,1.1
2016-09-18,1.05
2016-09-25,1.26
2016-10-02,1.31
2016-10-09,1.31
2016-10-16,1.12
2016-10-23,1.35
2016-10-30,1.41
2016-11-06,1.41
2016-11-13,1.31
2016-11-20,1.36
2016-11-27,1.36
2016-12-04,0.89
2016-12-11,1.17
2016-12-18,0.84
2016-12-25,0.81
2017-01-01,0.81
2017-01-08,1.15
2017-01-15,1.16
2017-01-22,0.91
2017-01-29,1.11
2017-02-05,0.74
2017-02-12,0.9
2017-02-19,1.23
2017-02-26,1.16
2017-03-05,1.56
2017-03-12,1.55
2017-03-19,1.56
2017-03-26,1.62
2017-04-02,1.64
2017-04-09,1.5
2017-04-16,1.46
2017-04-23,1.47
2017-04-30,1.26
2017-05-07,1.13
2017-05-14,1.47
2017-05-21,1.44
2017-05-28,1.43
2017-06-04,1.46
2017-06-11,1.43
2017-06-18,1.45
2017-06-25,1.36
2017-07-02,1.41
2017-07-09,1.42
2017-07-16,1.48
2017-07-23,1.44
2017-07-30,1.43
2017-08-06,1.44
2017-08-13,1.49
2017-08-20,1.63
2017-08-27,1.63
2017-09-03,1.88
2017-09-10,1.77
2017-09-17,1.73
2017-09-24,1.82
2017-10-01,2.0
2017-10-08,1.79
2017-10-15,1.76
2017-10-22,1.56
2017-10-29,1.17
2017-11-05,1.48
2017-11-12,1.33
2017-11-19,1.21
2017-11-26,1.42
2017-12-03,1.26
2017-12-10,1.01
2017-12-17,0.99
2017-12-24,1.38
2017-12-31,1.12
2018-01-07,1.2
2018-01-14,1.41
2018-01-21,1.14
2018-01-28,1.33
2018-02-04,0.96
2018-02-11,0.99
2018-02-18,1.31
2018-02-25,1.27
2018-03-04,1.12
2018-03-11,1.16
2018-03-18,1.12
2018-03-25,1.3
