Date,AveragePrice
2015-01-04,0.94
2015-01-11,0.97
2015-01-18,1.03
2015-01-25,0.94
2015-02-01,0.81
2015-02-08,0.93
2015-02-15,1.02
2015-02-22,0.92
2015-03-01,1.08
2015-03-08,1.06
2015-03-15,1.09
2015-03-22,0.9
2015-03-29,0.97
2015-04-05,0.99
2015-04-12,0.97
2015-04-19,0.93
2015-04-26,0.96
2015-05-03,0.93
2015-05-10,1.05
2015-05-17,0.96
2015-05-24,1.03
2015-05-31,1.04
2015-06-07,0.99
2015-06-14,1.02
2015-06-21,0.93
2015-06-28,1.03
2015-07-05,1.01
2015-07-12,1.05
2015-07-19,0.98
2015-07-26,1.03
2015-08-02,1.04
2015-08-09,1.0
2015-08-16,1.04
2015-08-23,1.04
2015-08-30,1.03
2015-09-06,0.99
2015-09-13,1.02
2015-09-20,1.0
2015-09-27,1.06
2015-10-04,1.0
2015-10-11,1.0
2015-10-18,1.02
2015-10-25,1.01
2015-11-01,0.97
2015-11-08,0.96
2015-11-15,0.98
2015-11-22,0.94
2015-11-29,0.9
2015-12-06,0.94
2015-12-13,0.86
2015-12-20,0.92
2015-12-27,0.91
2016-01-03,0.86
2016-01-10,0.9
2016-01-17,0.88
2016-01-24,0.9
2016-01-31,0.88
2016-02-07,0.58
2016-02-14,0.81
2016-02-21,0.89
2016-02-28,0.8
2016-03-06,0.97
2016-03-13,0.91
2016-03-20,0.94
2016-03-27,0.94
2016-04-03,0.89
2016-04-10,0.87
2016-04-17,0.87
2016-04-24,0.87
2016-05-01,0.58
2016-05-08,0.63
2016-05-15,0.86
2016-05-22,0.96
2016-05-29,0.85
2016-06-05,0.89
2016-06-12,0.95
2016-06-19,0.97
2016-06-26,1.05
2016-07-03,0.93
2016-07-10,1.06
2016-07-17,1.09
2016-07-24,1.16
2016-07-31,1.2
2016-08-07,1.13
2016-08-14,1.11
2016-08-21,1.04
2016-08-28,1.02
2016-09-04,0.94
2016-09-11,1.13
2016-09-18,1.18
2016-09-25,1.19
2016-10-02,1.29
2016-10-09,1.25
2016-10-16,1.36
2016-10-23,1.44
2016-10-30,1.48
2016-11-06,1.49
2016-11-13,1.26
2016-11-20,1.35
2016-11-27,1.38
2016-12-04,1.05
2016-12-11,1.21
2016-12-18,1.08
2016-12-25,0.94
2017-01-01,0.81
2017-01-08,1.1
2017-01-15,1.01
2017-01-22,1.06
2017-01-29,0.97
2017-02-05,0.61
2017-02-12,0.9
2017-02-19,1.11
2017-02-26,0.98
2017-03-05,1.13
2017-03-12,1.32
2017-03-19,1.32
2017-03-26,1.38
2017-04-02,1.37
2017-04-09,1.34
2017-04-16,1.27
2017-04-23,1.35
2017-04-30,1.32
2017-05-07,1.02
2017-05-14,1.35
2017-05-21,1.36
2017-05-28,1.39
2017-06-04,1.38
2017-06-11,1.32
2017-06-18,1.29
2017-06-25,1.3
2017-07-02,1.27
2017-07-09,1.26
2017-07-16,1.32
2017-07-23,1.39
2017-07-30,1.4
2017-08-06,1.33
2017-08-13,1.39
2017-08-20,1.46
2017-08-27,1.46
2017-09-03,1.57
2017-09-10,1.62
2017-09-17,1.62
2017-09-24,1.7
2017-10-01,1.72
2017-10-08,1.34
2017-10-15,1.46
2017-10-22,1.26
2017-10-29,1.11
2017-11-05,1.32
2017-11-12,1.11
2017-11-19,1.27
2017-11-26,1.27
2017-12-03,0.97
2017-12-10,1.06
2017-12-17,1.03
2017-12-24,1.14
2017-12-31,1.06
2018-01-07,1.15
2018-01-14,1.15
2018-01-21,1.04
2018-01-28,1.08
2018-02-04,0.76
2018-02-11,0.97
2018-02-18,1.02
2018-02-25,0.98
2018-03-04,1.03
2018-03-11,1.05
2018-03-18,1.02
2018-03-25,1.04
