Date,AveragePrice
2015-01-04,1.4
2015-01-11,1.54
2015-01-18,1.52
2015-01-25,1.5
2015-02-01,1.33
2015-02-08,1.36
2015-02-15,1.44
2015-02-22,1.41
2015-03-01,1.43
2015-03-08,1.35
2015-03-15,1.47
2015-03-22,1.4
2015-03-29,1.39
2015-04-05,1.44
2015-04-12,1.42
2015-04-19,1.42
2015-04-26,1.41
2015-05-03,1.42
2015-05-10,1.33
2015-05-17,1.35
2015-05-24,1.43
2015-05-31,1.4
2015-06-07,1.38
2015-06-14,1.34
2015-06-21,1.5
2015-06-28,1.36
2015-07-05,1.47
2015-07-12,1.45
2015-07-19,1.36
2015-07-26,1.39
2015-08-02,1.47
2015-08-09,1.47
2015-08-16,1.5
2015-08-23,1.49
2015-08-30,1.38
2015-09-06,1.56
2015-09-13,1.59
2015-09-20,1.54
2015-09-27,1.31
2015-10-04,1.33
2015-10-11,1.3
2015-10-18,1.29
2015-10-25,1.36
2015-11-01,1.23
2015-11-08,1.3
2015-11-15,1.36
2015-11-22,1.4
2015-11-29,1.39
2015-12-06,1.23
2015-12-13,1.35
2015-12-20,1.37
2015-12-27,1.35
2016-01-03,1.39
2016-01-10,1.35
2016-01-17,1.38
2016-01-24,1.31
2016-01-31,1.21
2016-02-07,1.3
2016-02-14,1.29
2016-02-21,1.31
2016-02-28,1.22
2016-03-06,1.36
2016-03-13,1.11
2016-03-20,1.14
2016-03-27,1.13
2016-04-03,1.04
2016-04-10,1.1
2016-04-17,1.14
2016-04-24,1.15
2016-05-01,1.11
2016-05-08,1.09
2016-05-15,1.09
2016-05-22,1.12
2016-05-29,1.19
2016-06-05,1.15
2016-06-12,1.15
2016-06-19,1.23
2016-06-26,1.26
2016-07-03,1.3
2016-07-10,1.25
2016-07-17,1.3
2016-07-24,1.44
2016-07-31,1.45
2016-08-07,1.5
2016-08-14,1.41
2016-08-21,1.33
2016-08-28,1.4
2016-09-04,1.48
2016-09-11,1.38
2016-09-18,1.54
2016-09-25,1.4
2016-10-02,1.35
2016-10-09,1.37
2016-10-16,1.36
2016-10-23,1.6
2016-10-30,1.65
2016-11-06,1.64
2016-11-13,1.6
2016-11-20,1.63
2016-11-27,1.57
2016-12-04,1.66
2016-12-11,1.47
2016-12-18,1.36
2016-12-25,1.41
2017-01-01,1.43
2017-01-08,1.37
2017-01-15,1.29
2017-01-22,1.34
2017-01-29,1.37
2017-02-05,1.4
2017-02-12,1.56
2017-02-19,1.68
2017-02-26,1.69
2017-03-05,1.68
2017-03-12,1.48
2017-03-19,1.54
2017-03-26,1.53
2017-04-02,1.54
2017-04-09,1.56
2017-04-16,1.54
2017-04-23,1.55
2017-04-30,1.54
2017-05-07,1.71
2017-05-14,1.55
2017-05-21,1.71
2017-05-28,1.64
2017-06-04,1.6
2017-06-11,1.62
2017-06-18,1.5
2017-06-25,1.46
2017-07-02,1.34
2017-07-09,1.31
2017-07-16,1.35
2017-07-23,1.34
2017-07-30,1.32
2017-08-06,1.32
2017-08-13,1.32
2017-08-20,1.34
2017-08-27,1.33
2017-09-03,1.56
2017-09-10,1.46
2017-09-17,1.37
2017-09-24,1.42
2017-10-01,1.53
2017-10-08,1.49
2017-10-15,1.5
2017-10-22,1.5
2017-10-29,1.36
2017-11-05,1.37
2017-11-12,1.37
2017-11-19,1.3
2017-11-26,1.23
2017-12-03,1.13
2017-12-10,1.25
2017-12-17,1.26
2017-12-24,1.28
2017-12-31,1.27
2018-01-07,1.28
2018-01-14,1.32
2018-01-21,1.29
2018-01-28,1.27
2018-02-04,1.32
2018-02-11,1.27
2018-02-18,1.28
2018-02-25,1.23
2018-03-04,1.19
2018-03-11,1.16
2018-03-18,1.14
2018-03-25,1.21
