Date,AveragePrice
2015-01-04,1.05
2015-01-11,1.26
2015-01-18,1.24
2015-01-25,1.17
2015-02-01,1.06
2015-02-08,1.02
2015-02-15,1.22
2015-02-22,1.2
2015-03-01,1.07
2015-03-08,1.15
2015-03-15,1.2
2015-03-22,1.08
2015-03-29,1.14
2015-04-05,1.21
2015-04-12,1.18
2015-04-19,1.17
2015-04-26,1.21
2015-05-03,1.17
2015-05-10,1.19
2015-05-17,1.19
2015-05-24,1.21
2015-05-31,1.22
2015-06-07,1.21
2015-06-14,1.13
2015-06-21,1.19
2015-06-28,1.2
2015-07-05,1.19
2015-07-12,1.17
2015-07-19,1.19
2015-07-26,1.17
2015-08-02,1.1
2015-08-09,1.07
2015-08-16,1.09
2015-08-23,1.1
2015-08-30,1.18
2015-09-06,1.19
2015-09-13,1.07
2015-09-20,1.17
2015-09-27,1.15
2015-10-04,1.16
2015-10-11,1.05
2015-10-18,0.93
2015-10-25,1.11
2015-11-01,1.13
2015-11-08,1.09
2015-11-15,1.09
2015-11-22,1.16
2015-11-29,1.17
2015-12-06,1.1
2015-12-13,1.14
2015-12-20,1.11
2015-12-27,1.16
2016-01-03,1.09
2016-01-10,1.14
2016-01-17,1.15
2016-01-24,1.13
2016-01-31,1.07
2016-02-07,1.1
2016-02-14,1.09
2016-02-21,1.15
2016-02-28,1.11
2016-03-06,1.17
2016-03-13,1.13
2016-03-20,1.08
2016-03-27,1.15
2016-04-03,1.13
2016-04-10,1.05
2016-04-17,1.05
2016-04-24,1.09
2016-05-01,0.99
2016-05-08,0.91
2016-05-15,1.08
2016-05-22,1.12
2016-05-29,1.13
2016-06-05,1.23
2016-06-12,1.24
2016-06-19,1.26
2016-06-26,1.24
2016-07-03,1.23
2016-07-10,1.21
2016-07-17,1.25
2016-07-24,1.36
2016-07-31,1.37
2016-08-07,1.24
2016-08-14,1.22
2016-08-21,1.28
2016-08-28,1.32
2016-09-04,1.15
2016-09-11,1.19
2016-09-18,1.26
2016-09-25,1.37
2016-10-02,1.4
2016-10-09,1.42
2016-10-16,1.49
2016-10-23,1.6
2016-10-30,1.59
2016-11-06,1.55
2016-11-13,1.42
2016-11-20,1.37
2016-11-27,1.4
2016-12-04,1.4
2016-12-11,1.26
2016-12-18,1.21
2016-12-25,1.45
2017-01-01,1.35
2017-01-08,1.3
2017-01-15,1.44
2017-01-22,1.4
2017-01-29,1.25
2017-02-05,1.14
2017-02-12,1.13
2017-02-19,1.28
2017-02-26,1.29
2017-03-05,1.19
2017-03-12,1.42
2017-03-19,1.4
2017-03-26,1.38
2017-04-02,1.46
2017-04-09,1.48
2017-04-16,1.56
2017-04-23,1.49
2017-04-30,1.48
2017-05-07,1.51
2017-05-14,1.54
2017-05-21,1.51
2017-05-28,1.56
2017-06-04,1.55
2017-06-11,1.5
2017-06-18,1.5
2017-06-25,1.46
2017-07-02,1.48
2017-07-09,1.47
2017-07-16,1.38
2017-07-23,1.38
2017-07-30,1.36
2017-08-06,1.37
2017-08-13,1.43
2017-08-20,1.47
2017-08-27,1.48
2017-09-03,1.53
2017-09-10,1.51
2017-09-17,1.46
2017-09-24,1.44
2017-10-01,1.45
2017-10-08,1.54
2017-10-15,1.48
2017-10-22,1.43
2017-10-29,1.47
2017-11-05,1.45
2017-11-12,1.38
2017-11-19,1.3
2017-11-26,1.3
2017-12-03,1.27
2017-12-10,1.13
2017-12-17,1.37
2017-12-24,1.37
2017-12-31,1.37
2018-01-07,1.33
2018-01-14,1.25
2018-01-21,1.14
2018-01-28,1.15
2018-02-04,1.16
2018-02-11,1.09
2018-02-18,1.25
2018-02-25,1.24
2018-03-04,1.21
2018-03-11,1.22
2018-03-18,1.18
2018-03-25,1.21
