Date,AveragePrice
2015-01-04,1.1
2015-01-11,1.38
2015-01-18,1.4
2015-01-25,1.36
2015-02-01,1.14
2015-02-08,1.09
2015-02-15,1.34
2015-02-22,1.36
2015-03-01,1.24
2015-03-08,1.4
2015-03-15,1.44
2015-03-22,1.18
2015-03-29,1.39
2015-04-05,1.43
2015-04-12,1.44
2015-04-19,1.43
2015-04-26,1.46
2015-05-03,1.22
2015-05-10,1.32
2015-05-17,1.44
2015-05-24,1.4
2015-05-31,1.43
2015-06-07,1.35
2015-06-14,1.32
2015-06-21,1.33
2015-06-28,1.38
2015-07-05,1.25
2015-07-12,1.38
2015-07-19,1.39
2015-07-26,1.36
2015-08-02,1.21
2015-08-09,1.19
2015-08-16,1.2
2015-08-23,1.09
2015-08-30,1.26
2015-09-06,1.25
2015-09-13,1.19
2015-09-20,1.25
2015-09-27,1.25
2015-10-04,1.28
2015-10-11,1.26
2015-10-18,1.06
2015-10-25,1.19
2015-11-01,1.13
2015-11-08,1.27
2015-11-15,1.17
2015-11-22,1.23
2015-11-29,1.23
2015-12-06,1.18
2015-12-13,1.18
2015-12-20,1.33
2015-12-27,1.25
2016-01-03,1.19
2016-01-10,1.23
2016-01-17,1.14
2016-01-24,1.34
2016-01-31,1.04
2016-02-07,0.96
2016-02-14,1.19
2016-02-21,1.26
2016-02-28,1.27
2016-03-06,1.33
2016-03-13,1.1
2016-03-20,1.05
2016-03-27,1.29
2016-04-03,1.28
2016-04-10,1.17
2016-04-17,1.17
2016-04-24,1.17
2016-05-01,1.21
2016-05-08,0.91
2016-05-15,1.22
2016-05-22,1.2
2016-05-29,1.18
2016-06-05,1.44
2016-06-12,1.44
2016-06-19,1.46
2016-06-26,1.24
2016-07-03,1.47
2016-07-10,1.47
2016-07-17,1.52
2016-07-24,1.56
2016-07-31,1.57
2016-08-07,1.45
2016-08-14,1.43
2016-08-21,1.45
2016-08-28,1.49
2016-09-04,1.3
2016-09-11,1.24
2016-09-18,1.41
2016-09-25,1.54
2016-10-02,1.61
2016-10-09,1.71
2016-10-16,1.74
2016-10-23,1.89
2016-10-30,1.83
2016-11-06,1.86
2016-11-13,1.72
2016-11-20,1.57
2016-11-27,1.57
2016-12-04,1.54
2016-12-11,1.37
2016-12-18,1.38
2016-12-25,1.43
2017-01-01,1.4
2017-01-08,1.39
2017-01-15,1.44
2017-01-22,1.51
2017-01-29,1.48
2017-02-05,1.28
2017-02-12,1.19
2017-02-19,1.37
2017-02-26,1.49
2017-03-05,1.48
2017-03-12,1.74
2017-03-19,1.66
2017-03-26,1.66
2017-04-02,1.68
2017-04-09,1.7
2017-04-16,1.74
2017-04-23,1.66
2017-04-30,1.78
2017-05-07,1.66
2017-05-14,1.75
2017-05-21,1.75
2017-05-28,1.74
2017-06-04,1.8
2017-06-11,1.73
2017-06-18,1.75
2017-06-25,1.5
2017-07-02,1.68
2017-07-09,1.59
2017-07-16,1.51
2017-07-23,1.47
2017-07-30,1.47
2017-08-06,1.48
2017-08-13,1.54
2017-08-20,1.64
2017-08-27,1.68
2017-09-03,1.7
2017-09-10,1.54
2017-09-17,1.54
2017-09-24,1.58
2017-10-01,1.62
2017-10-08,1.67
2017-10-15,1.64
2017-10-22,1.53
2017-10-29,1.53
2017-11-05,1.4
2017-11-12,1.45
2017-11-19,1.34
2017-11-26,1.38
2017-12-03,1.35
2017-12-10,1.23
2017-12-17,1.43
2017-12-24,1.34
2017-12-31,1.35
2018-01-07,1.56
2018-01-14,1.5
2018-01-21,1.32
2018-01-28,1.23
2018-02-04,1.12
2018-02-11,1.02
2018-02-18,1.24
2018-02-25,1.26
2018-03-04,1.36
2018-03-11,1.32
2018-03-18,1.33
2018-03-25,1.31
