Date,AveragePrice
2015-01-04,1.13
2015-01-11,1.15
2015-01-18,1.18
2015-01-25,1.17
2015-02-01,0.97
2015-02-08,1.06
2015-02-15,1.13
2015-02-22,1.1
2015-03-01,1.13
2015-03-08,1.19
2015-03-15,1.16
2015-03-22,1.12
2015-03-29,1.15
2015-04-05,1.14
2015-04-12,1.11
2015-04-19,1.1
2015-04-26,1.11
2015-05-03,0.99
2015-05-10,1.06
2015-05-17,1.04
2015-05-24,1.03
2015-05-31,1.02
2015-06-07,1.02
2015-06-14,0.98
2015-06-21,1.01
2015-06-28,1.0
2015-07-05,1.01
2015-07-12,1.02
2015-07-19,1.02
2015-07-26,1.03
2015-08-02,1.05
2015-08-09,1.06
2015-08-16,1.05
2015-08-23,1.04
2015-08-30,1.06
2015-09-06,0.98
2015-09-13,1.01
2015-09-20,1.04
2015-09-27,0.97
2015-10-04,1.04
2015-10-11,1.01
2015-10-18,1.0
2015-10-25,1.02
2015-11-01,1.0
2015-11-08,0.95
2015-11-15,0.94
2015-11-22,1.01
2015-11-29,0.99
2015-12-06,0.98
2015-12-13,0.98
2015-12-20,0.99
2015-12-27,0.98
2016-01-03,0.96
2016-01-10,0.97
2016-01-17,0.97
2016-01-24,0.97
2016-01-31,0.98
2016-02-07,0.78
2016-02-14,0.92
2016-02-21,0.98
2016-02-28,1.04
2016-03-06,0.99
2016-03-13,1.02
2016-03-20,0.99
2016-03-27,1.02
2016-04-03,1.03
2016-04-10,1.01
2016-04-17,0.99
2016-04-24,0.98
2016-05-01,0.95
2016-05-08,0.9
2016-05-15,1.0
2016-05-22,0.96
2016-05-29,1.0
2016-06-05,0.98
2016-06-12,0.96
2016-06-19,0.99
2016-06-26,1.0
2016-07-03,0.99
2016-07-10,1.02
2016-07-17,1.06
2016-07-24,1.07
2016-07-31,1.17
2016-08-07,1.1
2016-08-14,1.12
2016-08-21,1.11
2016-08-28,1.06
2016-09-04,1.11
2016-09-11,1.13
2016-09-18,1.18
2016-09-25,1.27
2016-10-02,1.19
2016-10-09,1.25
2016-10-16,1.28
2016-10-23,1.34
2016-10-30,1.28
2016-11-06,1.39
2016-11-13,1.33
2016-11-20,1.29
2016-11-27,1.21
2016-12-04,1.18
2016-12-11,1.1
2016-12-18,1.15
2016-12-25,1.2
2017-01-01,1.11
2017-01-08,1.18
2017-01-15,1.15
2017-01-22,1.13
2017-01-29,1.18
2017-02-05,1.0
2017-02-12,1.13
2017-02-19,1.18
2017-02-26,1.13
2017-03-05,1.31
2017-03-12,1.35
2017-03-19,1.29
2017-03-26,1.26
2017-04-02,1.19
2017-04-09,1.22
2017-04-16,1.28
2017-04-23,1.25
2017-04-30,1.18
2017-05-07,1.12
2017-05-14,1.13
2017-05-21,1.17
2017-05-28,1.25
2017-06-04,1.38
2017-06-11,1.31
2017-06-18,1.28
2017-06-25,1.21
2017-07-02,1.21
2017-07-09,1.19
2017-07-16,1.17
2017-07-23,1.13
2017-07-30,1.26
2017-08-06,1.26
2017-08-13,1.35
2017-08-20,1.33
2017-08-27,1.38
2017-09-03,1.44
2017-09-10,1.47
2017-09-17,1.44
2017-09-24,1.47
2017-10-01,1.54
2017-10-08,1.62
2017-10-15,1.46
2017-10-22,1.39
2017-10-29,1.33
2017-11-05,1.15
2017-11-12,1.26
2017-11-19,1.23
2017-11-26,1.24
2017-12-03,1.02
2017-12-10,1.04
2017-12-17,1.13
2017-12-24,1.19
2017-12-31,0.83
2018-01-07,1.03
2018-01-14,1.19
2018-01-21,1.12
2018-01-28,1.21
2018-02-04,0.86
2018-02-11,1.01
2018-02-18,1.18
2018-02-25,1.13
2018-03-04,1.14
2018-03-11,1.0
2018-03-18,0.98
2018-03-25,1.1
