Date,AveragePrice
2015-01-04,0.97
2015-01-11,1.06
2015-01-18,1.2
2015-01-25,1.26
2015-02-01,0.97
2015-02-08,1.08
2015-02-15,1.33
2015-02-22,1.11
2015-03-01,1.07
2015-03-08,1.24
2015-03-15,1.24
2015-03-22,1.13
2015-03-29,1.22
2015-04-05,1.26
2015-04-12,1.33
2015-04-19,1.13
2015-04-26,1.19
2015-05-03,1.02
2015-05-10,1.08
2015-05-17,1.22
2015-05-24,1.14
2015-05-31,1.12
2015-06-07,1.27
2015-06-14,1.18
2015-06-21,1.19
2015-06-28,1.31
2015-07-05,1.35
2015-07-12,1.14
2015-07-19,1.25
2015-07-26,1.29
2015-08-02,1.18
2015-08-09,1.15
2015-08-16,1.15
2015-08-23,1.13
2015-08-30,1.18
2015-09-06,1.17
2015-09-13,1.02
2015-09-20,1.02
2015-09-27,1.1
2015-10-04,1.06
2015-10-11,0.9
2015-10-18,1.08
2015-10-25,1.03
2015-11-01,1.14
2015-11-08,1.06
2015-11-15,0.93
2015-11-22,1.07
2015-11-29,1.17
2015-12-06,0.81
2015-12-13,1.05
2015-12-20,1.15
2015-12-27,1.09
2016-01-03,0.89
2016-01-10,0.86
2016-01-17,0.94
2016-01-24,0.92
2016-01-31,0.98
2016-02-07,0.75
2016-02-14,0.98
2016-02-21,0.86
2016-02-28,0.91
2016-03-06,0.88
2016-03-13,0.94
2016-03-20,1.02
2016-03-27,0.85
2016-04-03,0.86
2016-04-10,0.93
2016-04-17,0.84
2016-04-24,0.88
2016-05-01,0.82
2016-05-08,0.82
2016-05-15,0.83
2016-05-22,0.87
2016-05-29,0.87
2016-06-05,0.86
2016-06-12,1.01
2016-06-19,0.97
2016-06-26,1.03
2016-07-03,1.1
2016-07-10,1.11
2016-07-17,1.03
2016-07-24,1.1
2016-07-31,1.12
2016-08-07,1.11
2016-08-14,1.14
2016-08-21,1.11
2016-08-28,1.08
2016-09-04,1.13
2016-09-11,1.0
2016-09-18,1.03
2016-09-25,1.03
2016-10-02,0.89
2016-10-09,1.23
2016-10-16,1.2
2016-10-23,1.12
2016-10-30,1.42
2016-11-06,1.43
2016-11-13,1.43
2016-11-20,1.41
2016-11-27,1.45
2016-12-04,1.23
2016-12-11,0.88
2016-12-18,1.09
2016-12-25,1.17
2017-01-01,0.84
2017-01-08,0.8
2017-01-15,0.93
2017-01-22,0.85
2017-01-29,0.86
2017-02-05,0.76
2017-02-12,0.77
2017-02-19,0.87
2017-02-26,0.8
2017-03-05,0.94
2017-03-12,0.91
2017-03-19,1.14
2017-03-26,1.16
2017-04-02,1.18
2017-04-09,0.96
2017-04-16,1.09
2017-04-23,1.11
2017-04-30,0.92
2017-05-07,1.0
2017-05-14,1.09
2017-05-21,1.25
2017-05-28,1.19
2017-06-04,1.21
2017-06-11,1.21
2017-06-18,1.16
2017-06-25,1.17
2017-07-02,1.21
2017-07-09,1.0
2017-07-16,1.68
2017-07-23,1.54
2017-07-30,1.72
2017-08-06,1.73
2017-08-13,1.81
2017-08-20,1.67
2017-08-27,1.54
2017-09-03,1.94
2017-09-10,2.07
2017-09-17,1.88
2017-09-24,1.99
2017-10-01,2.01
2017-10-08,2.02
2017-10-15,1.74
2017-10-22,1.48
2017-10-29,1.53
2017-11-05,1.37
2017-11-12,1.34
2017-11-19,1.62
2017-11-26,1.61
2017-12-03,1.26
2017-12-10,1.39
2017-12-17,1.49
2017-12-24,1.46
2017-12-31,1.1
2018-01-07,1.43
2018-01-14,1.26
2018-01-21,1.31
2018-01-28,1.34
2018-02-04,1.04
2018-02-11,1.4
2018-02-18,1.46
2018-02-25,1.22
2018-03-04,1.43
2018-03-11,1.42
2018-03-18,1.21
2018-03-25,1.4
