Date,AveragePrice
2015-01-04,0.75
2015-01-11,0.92
2015-01-18,0.8
2015-01-25,0.8
2015-02-01,0.71
2015-02-08,0.72
2015-02-15,0.78
2015-02-22,0.85
2015-03-01,0.84
2015-03-08,0.73
2015-03-15,0.75
2015-03-22,0.85
2015-03-29,0.74
2015-04-05,0.76
2015-04-12,0.76
2015-04-19,0.7
2015-04-26,0.74
2015-05-03,0.74
2015-05-10,0.71
2015-05-17,0.7
2015-05-24,0.75
2015-05-31,0.74
2015-06-07,0.68
2015-06-14,0.7
2015-06-21,0.74
2015-06-28,0.71
2015-07-05,0.78
2015-07-12,0.77
2015-07-19,0.76
2015-07-26,0.81
2015-08-02,0.79
2015-08-09,0.74
2015-08-16,0.77
2015-08-23,0.8
2015-08-30,0.82
2015-09-06,0.8
2015-09-13,0.75
2015-09-20,0.78
2015-09-27,0.79
2015-10-04,0.85
2015-10-11,0.89
2015-10-18,0.81
2015-10-25,0.82
2015-11-01,0.8
2015-11-08,0.76
2015-11-15,0.71
2015-11-22,0.78
2015-11-29,0.81
2015-12-06,0.74
2015-12-13,0.78
2015-12-20,0.83
2015-12-27,0.71
2016-01-03,0.76
2016-01-10,0.74
2016-01-17,0.83
2016-01-24,1.12
2016-01-31,0.79
2016-02-07,0.68
2016-02-14,0.7
2016-02-21,0.7
2016-02-28,0.73
2016-03-06,0.77
2016-03-13,0.72
2016-03-20,0.7
2016-03-27,0.71
2016-04-03,0.73
2016-04-10,0.77
2016-04-17,0.73
2016-04-24,0.77
2016-05-01,0.73
2016-05-08,0.74
2016-05-15,0.7
2016-05-22,0.8
2016-05-29,0.77
2016-06-05,0.75
2016-06-12,0.82
2016-06-19,0.79
2016-06-26,0.8
2016-07-03,0.86
2016-07-10,0.87
2016-07-17,0.95
2016-07-24,1.03
2016-07-31,1.06
2016-08-07,0.95
2016-08-14,0.93
2016-08-21,0.92
2016-08-28,0.93
2016-09-04,0.88
2016-09-11,0.73
2016-09-18,0.95
2016-09-25,1.07
2016-10-02,1.14
2016-10-09,1.05
2016-10-16,0.87
2016-10-23,1.0
2016-10-30,1.11
2016-11-06,0.99
2016-11-13,0.96
2016-11-20,0.99
2016-11-27,0.8
2016-12-04,0.85
2016-12-11,0.79
2016-12-18,0.76
2016-12-25,0.73
2017-01-01,0.75
2017-01-08,0.76
2017-01-15,0.73
2017-01-22,0.67
2017-01-29,0.74
2017-02-05,0.52
2017-02-12,0.65
2017-02-19,0.8
2017-02-26,0.79
2017-03-05,0.84
2017-03-12,0.86
2017-03-19,0.84
2017-03-26,0.84
2017-04-02,0.86
2017-04-09,0.9
2017-04-16,0.82
2017-04-23,0.75
2017-04-30,0.81
2017-05-07,0.82
2017-05-14,0.84
2017-05-21,0.89
2017-05-28,0.91
2017-06-04,0.83
2017-06-11,0.83
2017-06-18,0.87
2017-06-25,0.85
2017-07-02,0.86
2017-07-09,0.84
2017-07-16,0.95
2017-07-23,1.03
2017-07-30,1.01
2017-08-06,0.95
2017-08-13,0.95
2017-08-20,1.01
2017-08-27,1.08
2017-09-03,1.14
2017-09-10,1.14
2017-09-17,1.2
2017-09-24,1.22
2017-10-01,1.22
2017-10-08,1.2
2017-10-15,1.15
2017-10-22,1.04
2017-10-29,1.02
2017-11-05,0.94
2017-11-12,0.93
2017-11-19,0.95
2017-11-26,0.91
2017-12-03,0.85
2017-12-10,0.86
2017-12-17,0.85
2017-12-24,0.93
2017-12-31,0.89
2018-01-07,0.88
2018-01-14,0.9
2018-01-21,0.84
2018-01-28,0.85
2018-02-04,0.76
2018-02-11,0.75
2018-02-18,0.89
2018-02-25,0.88
2018-03-04,0.88
2018-03-11,0.94
2018-03-18,0.88
2018-03-25,0.84
