Date,AveragePrice
2015-01-04,1.02
2015-01-11,1.1
2015-01-18,1.23
2015-01-25,1.17
2015-02-01,1.22
2015-02-08,1.04
2015-02-15,1.2
2015-02-22,1.23
2015-03-01,1.11
2015-03-08,1.17
2015-03-15,1.25
2015-03-22,1.18
2015-03-29,1.19
2015-04-05,1.27
2015-04-12,1.26
2015-04-19,1.15
2015-04-26,1.28
2015-05-03,1.17
2015-05-10,1.14
2015-05-17,1.26
2015-05-24,1.14
2015-05-31,1.26
2015-06-07,1.25
2015-06-14,1.08
2015-06-21,1.24
2015-06-28,1.25
2015-07-05,1.27
2015-07-12,1.14
2015-07-19,1.18
2015-07-26,1.28
2015-08-02,1.17
2015-08-09,1.07
2015-08-16,1.15
2015-08-23,1.07
2015-08-30,1.13
2015-09-06,1.11
2015-09-13,1.03
2015-09-20,1.15
2015-09-27,1.07
2015-10-04,1.07
2015-10-11,1.14
2015-10-18,0.94
2015-10-25,1.02
2015-11-01,1.06
2015-11-08,1.04
2015-11-15,1.05
2015-11-22,1.07
2015-11-29,1.19
2015-12-06,1.02
2015-12-13,1.01
2015-12-20,1.07
2015-12-27,1.13
2016-01-03,1.01
2016-01-10,1.15
2016-01-17,1.02
2016-01-24,1.05
2016-01-31,1.03
2016-02-07,1.05
2016-02-14,0.98
2016-02-21,1.14
2016-02-28,1.08
2016-03-06,1.1
2016-03-13,1.05
2016-03-20,1.1
2016-03-27,1.08
2016-04-03,1.11
2016-04-10,0.99
2016-04-17,1.08
2016-04-24,1.07
2016-05-01,1.05
2016-05-08,0.85
2016-05-15,1.06
2016-05-22,1.05
2016-05-29,1.08
2016-06-05,1.26
2016-06-12,1.29
2016-06-19,1.32
2016-06-26,1.33
2016-07-03,1.38
2016-07-10,1.32
2016-07-17,1.56
2016-07-24,1.52
2016-07-31,1.61
2016-08-07,1.48
2016-08-14,1.29
2016-08-21,1.31
2016-08-28,1.37
2016-09-04,1.41
2016-09-11,1.27
2016-09-18,1.45
2016-09-25,1.53
2016-10-02,1.59
2016-10-09,1.49
2016-10-16,1.6
2016-10-23,1.58
2016-10-30,1.67
2016-11-06,1.62
2016-11-13,1.56
2016-11-20,1.39
2016-11-27,1.45
2016-12-04,1.26
2016-12-11,1.22
2016-12-18,1.09
2016-12-25,1.28
2017-01-01,1.29
2017-01-08,1.09
2017-01-15,1.3
2017-01-22,1.26
2017-01-29,1.32
2017-02-05,1.19
2017-02-12,1.12
2017-02-19,1.31
2017-02-26,1.24
2017-03-05,1.3
2017-03-12,1.55
2017-03-19,1.54
2017-03-26,1.51
2017-04-02,1.56
2017-04-09,1.53
2017-04-16,1.61
2017-04-23,1.63
2017-04-30,1.61
2017-05-07,1.49
2017-05-14,1.62
2017-05-21,1.69
2017-05-28,1.73
2017-06-04,1.73
2017-06-11,1.72
2017-06-18,1.66
2017-06-25,1.68
2017-07-02,1.67
2017-07-09,1.69
2017-07-16,1.56
2017-07-23,1.37
2017-07-30,1.48
