Date,AveragePrice
2015-01-04,1.19
2015-01-11,1.26
2015-01-18,1.25
2015-01-25,1.18
2015-02-01,0.98
2015-02-08,1.17
2015-02-15,1.22
2015-02-22,1.08
2015-03-01,1.18
2015-03-08,1.25
2015-03-15,1.19
2015-03-22,1.19
2015-03-29,1.23
2015-04-05,1.19
2015-04-12,1.17
2015-04-19,1.18
2015-04-26,1.2
2015-05-03,1.0
2015-05-10,1.19
2015-05-17,1.21
2015-05-24,1.2
2015-05-31,1.19
2015-06-07,1.15
2015-06-14,1.15
2015-06-21,1.17
2015-06-28,1.17
2015-07-05,1.18
2015-07-12,1.18
2015-07-19,1.19
2015-07-26,1.23
2015-08-02,1.24
2015-08-09,1.21
2015-08-16,1.24
2015-08-23,1.15
2015-08-30,1.2
2015-09-06,1.01
2015-09-13,1.19
2015-09-20,1.2
2015-09-27,1.09
2015-10-04,1.22
2015-10-11,1.14
2015-10-18,1.26
2015-10-25,1.27
2015-11-01,1.11
2015-11-08,1.03
2015-11-15,1.01
2015-11-22,1.0
2015-11-29,0.95
2015-12-06,0.99
2015-12-13,0.95
2015-12-20,0.98
2015-12-27,0.96
2016-01-03,0.96
2016-01-10,0.95
2016-01-17,0.98
2016-01-24,0.92
2016-01-31,0.95
2016-02-07,0.8
2016-02-14,1.0
2016-02-21,1.07
2016-02-28,1.05
2016-03-06,1.09
2016-03-13,1.05
2016-03-20,1.15
2016-03-27,1.14
2016-04-03,1.12
2016-04-10,1.1
2016-04-17,1.14
2016-04-24,1.12
2016-05-01,1.04
2016-05-08,1.05
2016-05-15,1.12
2016-05-22,1.26
2016-05-29,1.21
2016-06-05,1.25
2016-06-12,1.25
2016-06-19,1.21
2016-06-26,1.28
2016-07-03,1.2
2016-07-10,1.26
2016-07-17,1.43
2016-07-24,1.46
2016-07-31,1.48
2016-08-07,1.43
2016-08-14,1.4
2016-08-21,1.38
2016-08-28,1.4
2016-09-04,1.33
2016-09-11,1.42
2016-09-18,1.43
2016-09-25,1.47
2016-10-02,1.48
2016-10-09,1.51
2016-10-16,1.39
2016-10-23,1.52
2016-10-30,1.58
2016-11-06,1.57
2016-11-13,1.64
2016-11-20,1.57
2016-11-27,1.54
2016-12-04,1.34
2016-12-11,1.33
2016-12-18,1.24
2016-12-25,1.25
2017-01-01,1.21
2017-01-08,1.28
2017-01-15,1.37
2017-01-22,1.18
2017-01-29,1.33
2017-02-05,0.95
2017-02-12,1.25
2017-02-19,1.33
2017-02-26,1.26
2017-03-05,1.41
2017-03-12,1.55
2017-03-19,1.47
2017-03-26,1.48
2017-04-02,1.48
2017-04-09,1.54
2017-04-16,1.56
2017-04-23,1.5
2017-04-30,1.53
2017-05-07,1.36
2017-05-14,1.41
2017-05-21,1.5
2017-05-28,1.5
2017-06-04,1.49
2017-06-11,1.38
2017-06-18,1.43
2017-06-25,1.33
2017-07-02,1.36
2017-07-09,1.32
2017-07-16,1.38
2017-07-23,1.39
2017-07-30,1.4
