Date,AveragePrice
2015-01-04,0.88
2015-01-11,0.92
2015-01-18,0.93
2015-01-25,0.93
2015-02-01,0.86
2015-02-08,0.93
2015-02-15,0.94
2015-02-22,0.93
2015-03-01,0.89
2015-03-08,0.87
2015-03-15,0.94
2015-03-22,0.98
2015-03-29,0.95
2015-04-05,1.06
2015-04-12,1.02
2015-04-19,1.02
2015-04-26,1.06
2015-05-03,1.08
2015-05-10,1.06
2015-05-17,1.04
2015-05-24,1.1
2015-05-31,1.06
2015-06-07,1.07
2015-06-14,1.05
2015-06-21,1.02
2015-06-28,1.01
2015-07-05,1.03
2015-07-12,1.03
2015-07-19,1.06
2015-07-26,1.03
2015-08-02,1.09
2015-08-09,1.08
2015-08-16,1.01
2015-08-23,1.05
2015-08-30,1.01
2015-09-06,1.02
2015-09-13,1.05
2015-09-20,1.05
2015-09-27,1.08
2015-10-04,0.93
2015-10-11,0.91
2015-10-18,0.98
2015-10-25,1.01
2015-11-01,0.93
2015-11-08,0.87
2015-11-15,0.88
2015-11-22,0.89
2015-11-29,0.88
2015-12-06,0.83
2015-12-13,0.79
2015-12-20,0.85
2015-12-27,0.87
2016-01-03,0.9
2016-01-10,0.92
2016-01-17,0.86
2016-01-24,0.89
2016-01-31,0.94
2016-02-07,0.81
2016-02-14,0.86
2016-02-21,0.86
2016-02-28,0.87
2016-03-06,0.85
2016-03-13,0.88
2016-03-20,0.9
2016-03-27,0.9
2016-04-03,0.89
2016-04-10,0.89
2016-04-17,0.93
2016-04-24,0.94
2016-05-01,0.94
2016-05-08,0.86
2016-05-15,0.88
2016-05-22,0.82
2016-05-29,0.84
2016-06-05,0.85
2016-06-12,1.05
2016-06-19,0.91
2016-06-26,0.92
2016-07-03,0.84
2016-07-10,1.06
2016-07-17,1.05
2016-07-24,1.1
2016-07-31,1.07
2016-08-07,1.03
2016-08-14,1.03
2016-08-21,1.07
2016-08-28,1.13
2016-09-04,1.12
2016-09-11,1.04
2016-09-18,0.96
2016-09-25,1.09
2016-10-02,1.03
2016-10-09,1.01
2016-10-16,1.07
2016-10-23,0.96
2016-10-30,1.02
2016-11-06,1.08
2016-11-13,1.07
2016-11-20,0.98
2016-11-27,1.09
2016-12-04,0.7
2016-12-11,0.77
2016-12-18,0.99
2016-12-25,0.82
2017-01-01,0.64
2017-01-08,0.82
2017-01-15,0.76
2017-01-22,0.69
2017-01-29,0.71
2017-02-05,0.65
2017-02-12,0.65
2017-02-19,0.7
2017-02-26,0.78
2017-03-05,0.78
2017-03-12,0.9
2017-03-19,0.95
2017-03-26,1.16
2017-04-02,1.01
2017-04-09,1.17
2017-04-16,1.06
2017-04-23,1.13
2017-04-30,1.1
2017-05-07,0.6
2017-05-14,0.76
2017-05-21,1.0
2017-05-28,0.96
2017-06-04,1.0
2017-06-11,0.87
2017-06-18,1.09
2017-06-25,0.8
2017-07-02,0.79
2017-07-09,1.09
2017-07-16,1.5
2017-07-23,1.47
2017-07-30,1.48
