Date,AveragePrice
2015-01-04,0.99
2015-01-11,1.09
2015-01-18,0.99
2015-01-25,1.02
2015-02-01,0.93
2015-02-08,0.95
2015-02-15,1.12
2015-02-22,1.0
2015-03-01,1.03
2015-03-08,1.03
2015-03-15,1.03
2015-03-22,1.15
2015-03-29,1.11
2015-04-05,1.19
2015-04-12,1.05
2015-04-19,1.08
2015-04-26,1.19
2015-05-03,1.01
2015-05-10,1.08
2015-05-17,1.21
2015-05-24,1.16
2015-05-31,1.26
2015-06-07,1.11
2015-06-14,1.16
2015-06-21,1.16
2015-06-28,1.2
2015-07-05,1.19
2015-07-12,1.18
2015-07-19,1.1
2015-07-26,1.18
2015-08-02,1.05
2015-08-09,1.09
2015-08-16,1.17
2015-08-23,1.2
2015-08-30,1.14
2015-09-06,1.09
2015-09-13,1.01
2015-09-20,0.98
2015-09-27,0.97
2015-10-04,1.02
2015-10-11,0.9
2015-10-18,0.87
2015-10-25,0.93
2015-11-01,0.82
2015-11-08,0.93
2015-11-15,0.82
2015-11-22,0.85
2015-11-29,1.12
2015-12-06,0.76
2015-12-13,0.83
2015-12-20,1.05
2015-12-27,0.98
2016-01-03,0.6
2016-01-10,0.72
2016-01-17,0.66
2016-01-24,0.6
2016-01-31,0.8
2016-02-07,0.63
2016-02-14,0.7
2016-02-21,0.73
2016-02-28,0.74
2016-03-06,0.98
2016-03-13,0.83
2016-03-20,0.73
2016-03-27,0.95
2016-04-03,0.83
2016-04-10,0.77
2016-04-17,0.78
2016-04-24,0.93
2016-05-01,0.87
2016-05-08,0.8
2016-05-15,0.9
2016-05-22,0.9
2016-05-29,0.85
2016-06-05,0.85
2016-06-12,0.96
2016-06-19,1.0
2016-06-26,0.98
2016-07-03,1.03
2016-07-10,1.04
2016-07-17,1.07
2016-07-24,1.17
2016-07-31,1.15
2016-08-07,1.14
2016-08-14,1.18
2016-08-21,1.22
2016-08-28,0.91
2016-09-04,0.91
2016-09-11,0.98
2016-09-18,1.02
2016-09-25,1.15
2016-10-02,1.18
2016-10-09,1.08
2016-10-16,1.15
2016-10-23,1.24
2016-10-30,1.13
2016-11-06,1.31
2016-11-13,1.18
2016-11-20,1.28
2016-11-27,1.3
2016-12-04,0.91
2016-12-11,0.95
2016-12-18,1.04
2016-12-25,1.04
2017-01-01,0.8
2017-01-08,0.92
2017-01-15,1.04
2017-01-22,1.03
2017-01-29,1.05
2017-02-05,0.77
2017-02-12,0.96
2017-02-19,1.07
2017-02-26,1.15
2017-03-05,1.32
2017-03-12,1.32
2017-03-19,1.32
2017-03-26,1.42
2017-04-02,1.33
2017-04-09,1.31
2017-04-16,1.23
2017-04-23,1.15
2017-04-30,1.33
2017-05-07,1.13
2017-05-14,1.23
2017-05-21,1.23
2017-05-28,1.19
2017-06-04,1.16
2017-06-11,1.18
2017-06-18,1.14
2017-06-25,1.17
2017-07-02,1.19
2017-07-09,1.11
2017-07-16,1.46
2017-07-23,1.15
2017-07-30,1.19
