Date,AveragePrice
2015-01-04,0.95
2015-01-11,1.03
2015-01-18,1.07
2015-01-25,1.19
2015-02-01,0.94
2015-02-08,1.24
2015-02-15,1.21
2015-02-22,1.31
2015-03-01,0.95
2015-03-08,1.08
2015-03-15,1.35
2015-03-22,0.91
2015-03-29,1.11
2015-04-05,1.22
2015-04-12,1.13
2015-04-19,0.93
2015-04-26,1.09
2015-05-03,1.06
2015-05-10,1.36
2015-05-17,0.97
2015-05-24,1.3
2015-05-31,1.31
2015-06-07,1.14
2015-06-14,1.07
2015-06-21,0.96
2015-06-28,1.1
2015-07-05,1.16
2015-07-12,1.19
2015-07-19,1.05
2015-07-26,1.12
2015-08-02,1.05
2015-08-09,1.08
2015-08-16,0.89
2015-08-23,1.28
2015-08-30,0.91
2015-09-06,1.09
2015-09-13,0.95
2015-09-20,0.88
2015-09-27,1.15
2015-10-04,0.99
2015-10-11,0.97
2015-10-18,0.94
2015-10-25,1.14
2015-11-01,0.91
2015-11-08,0.93
2015-11-15,1.2
2015-11-22,1.11
2015-11-29,1.12
2015-12-06,0.93
2015-12-13,1.24
2015-12-20,1.13
2015-12-27,1.13
2016-01-03,0.92
2016-01-10,1.17
2016-01-17,1.05
2016-01-24,0.94
2016-01-31,1.13
2016-02-07,0.94
2016-02-14,1.13
2016-02-21,1.16
2016-02-28,1.07
2016-03-06,0.91
2016-03-13,1.15
2016-03-20,1.07
2016-03-27,0.99
2016-04-03,1.1
2016-04-10,1.17
2016-04-17,0.89
2016-04-24,1.07
2016-05-01,1.12
2016-05-08,1.04
2016-05-15,0.88
2016-05-22,1.31
2016-05-29,1.32
2016-06-05,0.93
2016-06-12,1.36
2016-06-19,1.26
2016-06-26,1.26
2016-07-03,1.49
2016-07-10,1.6
2016-07-17,1.58
2016-07-24,1.6
2016-07-31,1.6
2016-08-07,1.59
2016-08-14,1.53
2016-08-21,1.63
2016-08-28,1.45
2016-09-04,1.52
2016-09-11,1.58
2016-09-18,1.49
2016-09-25,1.55
2016-10-02,1.6
2016-10-09,1.62
2016-10-16,1.63
2016-10-23,1.72
2016-10-30,1.42
2016-11-06,1.67
2016-11-13,1.59
2016-11-20,1.46
2016-11-27,1.44
2016-12-04,0.92
2016-12-11,1.2
2016-12-18,1.14
2016-12-25,1.33
2017-01-01,0.77
2017-01-08,1.26
2017-01-15,1.29
2017-01-22,0.92
2017-01-29,1.29
2017-02-05,0.81
2017-02-12,1.13
2017-02-19,1.42
2017-02-26,1.02
2017-03-05,1.5
2017-03-12,1.73
2017-03-19,1.73
2017-03-26,1.71
2017-04-02,1.73
2017-04-09,1.73
2017-04-16,1.67
2017-04-23,1.67
2017-04-30,1.83
2017-05-07,1.46
2017-05-14,1.87
2017-05-21,1.88
2017-05-28,1.85
2017-06-04,1.88
2017-06-11,1.79
2017-06-18,1.29
2017-06-25,1.74
2017-07-02,1.51
2017-07-09,1.43
2017-07-16,1.42
2017-07-23,1.68
2017-07-30,1.63
