Date,AveragePrice
2015-01-04,0.71
2015-01-11,0.78
2015-01-18,0.77
2015-01-25,0.77
2015-02-01,0.72
2015-02-08,0.7
2015-02-15,0.73
2015-02-22,0.82
2015-03-01,0.87
2015-03-08,0.78
2015-03-15,0.77
2015-03-22,0.8
2015-03-29,0.79
2015-04-05,0.83
2015-04-12,0.79
2015-04-19,0.82
2015-04-26,0.79
2015-05-03,0.74
2015-05-10,0.76
2015-05-17,0.82
2015-05-24,0.83
2015-05-31,0.72
2015-06-07,0.72
2015-06-14,0.62
2015-06-21,0.74
2015-06-28,0.74
2015-07-05,0.79
2015-07-12,0.79
2015-07-19,0.78
2015-07-26,0.79
2015-08-02,0.9
2015-08-09,0.92
2015-08-16,0.92
2015-08-23,0.89
2015-08-30,0.88
2015-09-06,0.89
2015-09-13,0.89
2015-09-20,0.83
2015-09-27,0.86
2015-10-04,0.82
2015-10-11,0.79
2015-10-18,0.9
2015-10-25,0.88
2015-11-01,0.77
2015-11-08,0.75
2015-11-15,0.72
2015-11-22,0.73
2015-11-29,0.79
2015-12-06,0.74
2015-12-13,0.73
2015-12-20,0.75
2015-12-27,0.78
2016-01-03,0.78
2016-01-10,0.84
2016-01-17,0.83
2016-01-24,0.91
2016-01-31,0.74
2016-02-07,0.69
2016-02-14,0.67
2016-02-21,0.8
2016-02-28,0.76
2016-03-06,0.76
2016-03-13,0.76
2016-03-20,0.76
2016-03-27,0.75
2016-04-03,0.72
2016-04-10,0.7
2016-04-17,0.69
2016-04-24,0.67
2016-05-01,0.68
2016-05-08,0.65
2016-05-15,0.69
2016-05-22,0.68
2016-05-29,0.82
2016-06-05,0.85
2016-06-12,0.83
2016-06-19,0.89
2016-06-26,0.88
2016-07-03,0.92
2016-07-10,0.89
2016-07-17,0.92
2016-07-24,0.96
2016-07-31,0.98
2016-08-07,0.92
2016-08-14,0.9
2016-08-21,0.9
2016-08-28,0.88
2016-09-04,0.72
2016-09-11,0.76
2016-09-18,0.83
2016-09-25,0.96
2016-10-02,0.98
2016-10-09,0.98
2016-10-16,0.98
2016-10-23,1.0
2016-10-30,1.15
2016-11-06,1.12
2016-11-13,1.05
2016-11-20,0.99
2016-11-27,0.82
2016-12-04,0.71
2016-12-11,0.73
2016-12-18,0.63
2016-12-25,0.72
2017-01-01,0.51
2017-01-08,0.57
2017-01-15,0.53
2017-01-22,0.68
2017-01-29,0.7
2017-02-05,0.55
2017-02-12,0.58
2017-02-19,0.67
2017-02-26,0.53
2017-03-05,0.74
2017-03-12,0.9
2017-03-19,0.85
2017-03-26,0.83
2017-04-02,0.7
2017-04-09,0.81
2017-04-16,0.76
2017-04-23,0.68
2017-04-30,0.72
2017-05-07,0.74
2017-05-14,0.79
2017-05-21,0.83
2017-05-28,0.87
2017-06-04,0.83
2017-06-11,0.89
2017-06-18,0.77
2017-06-25,0.82
2017-07-02,0.83
2017-07-09,0.78
2017-07-16,1.01
2017-07-23,1.02
2017-07-30,1.0
