Date,AveragePrice
2015-01-04,0.89
2015-01-11,0.95
2015-01-18,0.96
2015-01-25,0.94
2015-02-01,0.84
2015-02-08,0.89
2015-02-15,0.98
2015-02-22,0.95
2015-03-01,0.95
2015-03-08,0.99
2015-03-15,0.94
2015-03-22,0.99
2015-03-29,0.93
2015-04-05,0.95
2015-04-12,0.98
2015-04-19,0.88
2015-04-26,0.9
2015-05-03,0.89
2015-05-10,0.94
2015-05-17,0.98
2015-05-24,0.93
2015-05-31,0.93
2015-06-07,0.92
2015-06-14,0.92
2015-06-21,0.93
2015-06-28,1.03
2015-07-05,0.98
2015-07-12,1.01
2015-07-19,1.04
2015-07-26,1.07
2015-08-02,1.02
2015-08-09,1.01
2015-08-16,0.98
2015-08-23,1.04
2015-08-30,1.03
2015-09-06,0.93
2015-09-13,0.92
2015-09-20,0.92
2015-09-27,0.97
2015-10-04,1.0
2015-10-11,0.91
2015-10-18,0.89
2015-10-25,0.95
2015-11-01,0.9
2015-11-08,0.88
2015-11-15,0.83
2015-11-22,0.92
2015-11-29,0.99
2015-12-06,0.75
2015-12-13,0.85
2015-12-20,0.88
2015-12-27,0.83
2016-01-03,0.73
2016-01-10,0.77
2016-01-17,0.81
2016-01-24,0.78
2016-01-31,0.85
2016-02-07,0.69
2016-02-14,0.78
2016-02-21,0.77
2016-02-28,0.78
2016-03-06,0.8
2016-03-13,0.81
2016-03-20,0.78
2016-03-27,0.78
2016-04-03,0.79
2016-04-10,0.79
2016-04-17,0.77
2016-04-24,0.78
2016-05-01,0.79
2016-05-08,0.75
2016-05-15,0.77
2016-05-22,0.83
2016-05-29,0.79
2016-06-05,0.82
2016-06-12,0.92
2016-06-19,0.86
2016-06-26,0.87
2016-07-03,0.97
2016-07-10,1.01
2016-07-17,1.02
2016-07-24,1.08
2016-07-31,1.1
2016-08-07,0.95
2016-08-14,1.0
2016-08-21,0.93
2016-08-28,0.96
2016-09-04,0.92
2016-09-11,0.96
2016-09-18,1.04
2016-09-25,1.08
2016-10-02,1.03
2016-10-09,1.13
2016-10-16,1.15
2016-10-23,1.17
2016-10-30,1.26
2016-11-06,1.26
2016-11-13,1.18
2016-11-20,1.1
2016-11-27,1.09
2016-12-04,0.93
2016-12-11,0.84
2016-12-18,0.88
2016-12-25,0.92
2017-01-01,0.79
2017-01-08,0.86
2017-01-15,0.85
2017-01-22,0.82
2017-01-29,0.85
2017-02-05,0.66
2017-02-12,0.76
2017-02-19,0.88
2017-02-26,0.86
2017-03-05,0.96
2017-03-12,0.94
2017-03-19,1.04
2017-03-26,1.0
2017-04-02,1.05
2017-04-09,1.0
2017-04-16,1.02
2017-04-23,0.96
2017-04-30,0.98
2017-05-07,0.94
2017-05-14,1.01
2017-05-21,1.06
2017-05-28,1.07
2017-06-04,1.07
2017-06-11,1.02
2017-06-18,1.02
2017-06-25,1.05
2017-07-02,1.07
2017-07-09,0.95
2017-07-16,1.28
2017-07-23,1.18
2017-07-30,1.25
