Date,AveragePrice
2015-01-04,1.29
2015-01-11,1.22
2015-01-18,1.41
2015-01-25,1.41
2015-02-01,1.15
2015-02-08,1.43
2015-02-15,1.56
2015-02-22,1.19
2015-03-01,1.58
2015-03-08,1.56
2015-03-15,1.59
2015-03-22,1.25
2015-03-29,1.63
2015-04-05,1.63
2015-04-12,1.66
2015-04-19,1.64
2015-04-26,1.7
2015-05-03,1.66
2015-05-10,1.7
2015-05-17,1.42
2015-05-24,1.69
2015-05-31,1.69
2015-06-07,1.71
2015-06-14,1.61
2015-06-21,1.69
2015-06-28,1.7
2015-07-05,1.69
2015-07-12,1.7
2015-07-19,1.81
2015-07-26,1.72
2015-08-02,1.72
2015-08-09,1.66
2015-08-16,1.75
2015-08-23,1.72
2015-08-30,1.6
2015-09-06,1.58
2015-09-13,1.6
2015-09-20,1.35
2015-09-27,1.7
2015-10-04,1.63
2015-10-11,1.53
2015-10-18,1.54
2015-10-25,1.59
2015-11-01,1.6
2015-11-08,1.65
2015-11-15,1.64
2015-11-22,1.39
2015-11-29,1.32
2015-12-06,1.46
2015-12-13,1.72
2015-12-20,1.67
2015-12-27,1.51
2016-01-03,1.56
2016-01-10,1.37
2016-01-17,1.59
2016-01-24,1.58
2016-01-31,1.47
2016-02-07,1.66
2016-02-14,1.82
2016-02-21,1.54
2016-02-28,1.62
2016-03-06,1.41
2016-03-13,1.54
2016-03-20,1.61
2016-03-27,1.65
2016-04-03,1.71
2016-04-10,1.73
2016-04-17,1.49
2016-04-24,1.65
2016-05-01,1.77
2016-05-08,1.52
2016-05-15,1.7
2016-05-22,1.87
2016-05-29,1.7
2016-06-05,1.75
2016-06-12,1.73
2016-06-19,1.75
2016-06-26,1.89
2016-07-03,1.99
2016-07-10,1.96
2016-07-17,1.98
2016-07-24,2.08
2016-07-31,2.02
2016-08-07,1.87
2016-08-14,1.76
2016-08-21,1.77
2016-08-28,2.05
2016-09-04,2.03
2016-09-11,2.14
2016-09-18,2.06
2016-09-25,2.06
2016-10-02,2.15
2016-10-09,1.87
2016-10-16,1.95
2016-10-23,1.81
2016-10-30,1.85
2016-11-06,2.28
2016-11-13,2.2
2016-11-20,2.03
2016-11-27,2.17
2016-12-04,2.15
2016-12-11,1.97
2016-12-18,1.86
2016-12-25,1.83
2017-01-01,1.92
2017-01-08,1.85
2017-01-15,1.82
2017-01-22,1.85
2017-01-29,1.85
2017-02-05,1.85
2017-02-12,1.85
2017-02-19,1.81
2017-02-26,1.93
2017-03-05,1.97
2017-03-12,2.12
2017-03-19,2.06
2017-03-26,1.97
2017-04-02,1.97
2017-04-09,1.89
2017-04-16,1.96
2017-04-23,2.14
2017-04-30,2.15
2017-05-07,2.13
2017-05-14,2.11
2017-05-21,2.2
2017-05-28,2.18
2017-06-04,2.15
2017-06-11,2.17
2017-06-18,2.2
2017-06-25,2.21
2017-07-02,2.2
2017-07-09,2.26
2017-07-16,1.57
2017-07-23,1.51
2017-07-30,1.6
2017-08-06,1.65
2017-08-13,1.66
2017-08-20,1.75
2017-08-27,1.82
2017-09-03,1.68
2017-09-10,1.59
2017-09-17,1.54
2017-09-24,1.53
2017-10-01,1.62
2017-10-08,1.5
2017-10-15,1.6
2017-10-22,1.64
2017-10-29,1.81
2017-11-05,1.84
2017-11-12,1.81
2017-11-19,1.8
2017-11-26,1.69
2017-12-03,1.58
2017-12-10,1.51
2017-12-17,1.58
2017-12-24,1.56
2017-12-31,1.53
2018-01-07,1.15
2018-01-14,1.39
2018-01-21,1.66
2018-01-28,1.55
2018-02-04,1.59
2018-02-11,1.53
2018-02-18,1.52
2018-02-25,1.47
2018-03-04,1.43
2018-03-11,1.44
2018-03-18,1.41
2018-03-25,1.33
