Date,AveragePrice
2015-01-04,1.34
2015-01-11,1.32
2015-01-18,1.37
2015-01-25,1.26
2015-02-01,1.19
2015-02-08,1.24
2015-02-15,1.22
2015-02-22,1.23
2015-03-01,1.24
2015-03-08,1.17
2015-03-15,1.22
2015-03-22,1.25
2015-03-29,1.27
2015-04-05,1.22
2015-04-12,1.49
2015-04-19,1.46
2015-04-26,1.36
2015-05-03,1.42
2015-05-10,1.43
2015-05-17,1.27
2015-05-24,1.48
2015-05-31,1.47
2015-06-07,1.46
2015-06-14,1.34
2015-06-21,1.39
2015-06-28,1.49
2015-07-05,1.59
2015-07-12,1.56
2015-07-19,1.66
2015-07-26,1.63
2015-08-02,1.62
2015-08-09,1.59
2015-08-16,1.66
2015-08-23,1.58
2015-08-30,1.56
2015-09-06,1.62
2015-09-13,1.59
2015-09-20,1.58
2015-09-27,1.46
2015-10-04,1.54
2015-10-11,1.66
2015-10-18,1.5
2015-10-25,1.56
2015-11-01,1.61
2015-11-08,1.3
2015-11-15,1.2
2015-11-22,1.36
2015-11-29,1.5
2015-12-06,1.48
2015-12-13,1.32
2015-12-20,1.47
2015-12-27,1.43
2016-01-03,1.34
2016-01-10,1.31
2016-01-17,1.4
2016-01-24,1.42
2016-01-31,1.3
2016-02-07,1.11
2016-02-14,1.01
2016-02-21,1.33
2016-02-28,1.47
2016-03-06,1.34
2016-03-13,1.25
2016-03-20,1.21
2016-03-27,1.17
2016-04-03,1.3
2016-04-10,1.12
2016-04-17,1.4
2016-04-24,1.44
2016-05-01,1.13
2016-05-08,1.43
2016-05-15,1.4
2016-05-22,1.39
2016-05-29,1.24
2016-06-05,1.2
2016-06-12,1.09
2016-06-19,1.04
2016-06-26,1.02
2016-07-03,1.05
2016-07-10,0.98
2016-07-17,1.04
2016-07-24,1.65
2016-07-31,1.51
2016-08-07,1.09
2016-08-14,1.3
2016-08-21,1.13
2016-08-28,0.77
2016-09-04,1.34
2016-09-11,1.13
2016-09-18,1.32
2016-09-25,1.35
2016-10-02,1.44
2016-10-09,1.51
2016-10-16,1.23
2016-10-23,1.2
2016-10-30,1.52
2016-11-06,0.9
2016-11-13,1.52
2016-11-20,0.96
2016-11-27,0.79
2016-12-04,1.07
2016-12-11,0.64
2016-12-18,0.82
2016-12-25,1.73
2017-01-01,1.23
2017-01-08,1.07
2017-01-15,1.88
2017-01-22,1.58
2017-01-29,0.8
2017-02-05,0.57
2017-02-12,0.64
2017-02-19,0.51
2017-02-26,0.49
2017-03-05,0.44
2017-03-12,0.64
2017-03-19,1.68
2017-03-26,1.04
2017-04-02,0.83
2017-04-09,0.86
2017-04-16,0.98
2017-04-23,1.92
2017-04-30,1.66
2017-05-07,1.48
2017-05-14,1.41
2017-05-21,1.66
2017-05-28,1.78
2017-06-04,1.65
2017-06-11,0.77
2017-06-18,1.55
2017-06-25,1.46
2017-07-02,1.28
2017-07-09,1.29
2017-07-16,1.82
2017-07-23,1.82
2017-07-30,1.85
2017-08-06,2.06
2017-08-13,1.97
2017-08-20,1.92
2017-08-27,1.95
2017-09-03,2.17
2017-09-10,2.15
2017-09-17,2.14
2017-09-24,2.2
2017-10-01,2.01
2017-10-08,1.94
2017-10-15,1.81
2017-10-22,1.86
2017-10-29,1.87
2017-11-05,1.92
2017-11-12,1.67
2017-11-19,1.66
2017-11-26,1.69
2017-12-03,1.72
2017-12-10,1.69
2017-12-17,1.73
2017-12-24,1.73
2017-12-31,1.36
2018-01-07,1.71
2018-01-14,1.71
2018-01-21,1.6
2018-01-28,1.51
2018-02-04,1.69
2018-02-11,1.59
2018-02-18,1.64
2018-02-25,1.78
2018-03-04,1.68
2018-03-11,1.27
2018-03-18,1.31
2018-03-25,1.66
