Date,AveragePrice
2015-01-04,1.39
2015-01-11,1.47
2015-01-18,1.48
2015-01-25,1.47
2015-02-01,1.5
2015-02-08,1.44
2015-02-15,1.46
2015-02-22,1.36
2015-03-01,1.33
2015-03-08,1.48
2015-03-15,1.5
2015-03-22,1.36
2015-03-29,1.51
2015-04-05,1.42
2015-04-12,1.03
2015-04-19,1.05
2015-04-26,0.94
2015-05-03,0.88
2015-05-10,0.82
2015-05-17,0.92
2015-05-24,0.89
2015-05-31,0.98
2015-06-07,1.08
2015-06-14,1.16
2015-06-21,1.33
2015-06-28,1.31
2015-07-05,1.37
2015-07-12,1.14
2015-07-19,1.19
2015-07-26,1.34
2015-08-02,1.7
2015-08-09,1.6
2015-08-16,1.65
2015-08-23,1.69
2015-08-30,1.73
2015-09-06,1.78
2015-09-13,1.84
2015-09-20,1.85
2015-09-27,1.67
2015-10-04,1.6
2015-10-11,1.13
2015-10-18,1.58
2015-10-25,1.56
2015-11-01,1.19
2015-11-08,1.44
2015-11-15,1.53
2015-11-22,1.54
2015-11-29,1.61
2015-12-06,1.55
2015-12-13,1.55
2015-12-20,1.59
2015-12-27,1.41
2016-01-03,1.24
2016-01-10,1.28
2016-01-17,1.37
2016-01-24,1.55
2016-01-31,1.33
2016-02-07,1.29
2016-02-14,1.21
2016-02-21,1.38
2016-02-28,1.29
2016-03-06,1.55
2016-03-13,1.22
2016-03-20,0.94
2016-03-27,0.99
2016-04-03,1.31
2016-04-10,0.81
2016-04-17,1.06
2016-04-24,1.4
2016-05-01,1.35
2016-05-08,1.36
2016-05-15,1.35
2016-05-22,0.79
2016-05-29,0.96
2016-06-05,0.89
2016-06-12,1.21
2016-06-19,1.18
2016-06-26,1.19
2016-07-03,1.52
2016-07-10,1.33
2016-07-17,1.49
2016-07-24,1.51
2016-07-31,1.2
2016-08-07,1.19
2016-08-14,1.26
2016-08-21,1.41
2016-08-28,1.05
2016-09-04,1.15
2016-09-11,1.08
2016-09-18,1.52
2016-09-25,1.34
2016-10-02,1.69
2016-10-09,1.02
2016-10-16,1.15
2016-10-23,0.97
2016-10-30,1.77
2016-11-06,0.96
2016-11-13,1.17
2016-11-20,0.98
2016-11-27,1.1
2016-12-04,1.16
2016-12-11,1.39
2016-12-18,1.5
2016-12-25,1.68
2017-01-01,1.51
2017-01-08,1.61
2017-01-15,1.6
2017-01-22,1.16
2017-01-29,1.18
2017-02-05,1.14
2017-02-12,0.88
2017-02-19,0.94
2017-02-26,0.77
2017-03-05,0.7
2017-03-12,1.13
2017-03-19,1.2
2017-03-26,0.84
2017-04-02,1.19
2017-04-09,0.89
2017-04-16,1.24
2017-04-23,1.58
2017-04-30,1.87
2017-05-07,1.72
2017-05-14,1.81
2017-05-21,1.59
2017-05-28,1.37
2017-06-04,1.51
2017-06-11,1.35
2017-06-18,1.61
2017-06-25,1.42
2017-07-02,1.78
2017-07-09,1.62
2017-07-16,1.64
2017-07-23,1.49
2017-07-30,1.59
2017-08-06,1.81
2017-08-13,2.0
2017-08-20,2.08
2017-08-27,2.17
2017-09-03,2.27
2017-09-10,2.19
2017-09-17,1.9
2017-09-24,2.08
2017-10-01,1.83
2017-10-08,1.72
2017-10-15,1.64
2017-10-22,1.53
2017-10-29,1.53
2017-11-05,1.5
2017-11-12,1.46
2017-11-19,1.54
2017-11-26,1.56
2017-12-03,1.42
2017-12-10,1.47
2017-12-17,1.58
2017-12-24,1.54
2017-12-31,1.5
2018-01-07,1.48
2018-01-14,1.55
2018-01-21,1.67
2018-01-28,1.63
2018-02-04,1.53
2018-02-11,1.44
2018-02-18,1.49
2018-02-25,1.56
2018-03-04,1.78
2018-03-11,1.54
2018-03-18,1.57
2018-03-25,1.6
