Date,AveragePrice
2015-01-04,1.83
2015-01-11,1.94
2015-01-18,2.0
2015-01-25,2.01
2015-02-01,1.78
2015-02-08,1.91
2015-02-15,1.91
2015-02-22,1.74
2015-03-01,1.85
2015-03-08,1.91
2015-03-15,1.99
2015-03-22,1.94
2015-03-29,1.98
2015-04-05,1.91
2015-04-12,1.86
2015-04-19,1.94
2015-04-26,1.86
2015-05-03,1.82
2015-05-10,2.02
2015-05-17,1.91
2015-05-24,1.94
2015-05-31,1.94
2015-06-07,2.0
2015-06-14,2.03
2015-06-21,2.06
2015-06-28,2.03
2015-07-05,2.13
2015-07-12,2.19
2015-07-19,2.05
2015-07-26,2.02
2015-08-02,2.12
2015-08-09,2.02
2015-08-16,2.09
2015-08-23,2.0
2015-08-30,2.03
2015-09-06,1.97
2015-09-13,2.0
2015-09-20,2.01
2015-09-27,2.0
2015-10-04,1.28
2015-10-11,1.26
2015-10-18,1.26
2015-10-25,1.27
2015-11-01,1.3
2015-11-08,1.22
2015-11-15,1.15
2015-11-22,1.27
2015-11-29,1.28
2015-12-06,1.29
2015-12-13,1.55
2015-12-20,1.41
2015-12-27,1.48
2016-01-03,1.26
2016-01-10,1.32
2016-01-17,1.13
2016-01-24,1.46
2016-01-31,1.52
2016-02-07,1.62
2016-02-14,1.59
2016-02-21,1.52
2016-02-28,1.64
2016-03-06,1.7
2016-03-13,1.59
2016-03-20,1.59
2016-03-27,1.59
2016-04-03,1.73
2016-04-10,1.68
2016-04-17,1.59
2016-04-24,1.73
2016-05-01,1.79
2016-05-08,1.58
2016-05-15,1.58
2016-05-22,1.57
2016-05-29,1.59
2016-06-05,1.49
2016-06-12,1.37
2016-06-19,1.53
2016-06-26,1.6
2016-07-03,1.61
2016-07-10,1.59
2016-07-17,1.77
2016-07-24,1.49
2016-07-31,1.14
2016-08-07,1.31
2016-08-14,1.23
2016-08-21,1.28
2016-08-28,1.36
2016-09-04,1.73
2016-09-11,1.84
2016-09-18,1.86
2016-09-25,1.72
2016-10-02,1.63
2016-10-09,1.57
2016-10-16,1.43
2016-10-23,1.32
2016-10-30,1.49
2016-11-06,1.72
2016-11-13,1.59
2016-11-20,1.8
2016-11-27,1.94
2016-12-04,2.0
2016-12-11,1.88
2016-12-18,2.0
2016-12-25,1.98
2017-01-01,2.06
2017-01-08,1.95
2017-01-15,1.88
2017-01-22,1.93
2017-01-29,1.9
2017-02-05,1.63
2017-02-12,1.95
2017-02-19,2.06
2017-02-26,2.01
2017-03-05,1.72
2017-03-12,2.09
2017-03-19,2.06
2017-03-26,2.02
2017-04-02,2.0
2017-04-09,2.0
2017-04-16,2.0
2017-04-23,1.88
2017-04-30,2.02
2017-05-07,1.98
2017-05-14,1.99
2017-05-21,1.92
2017-05-28,2.04
2017-06-04,2.04
2017-06-11,2.07
2017-06-18,2.12
2017-06-25,2.13
2017-07-02,2.13
2017-07-09,2.17
2017-07-16,1.61
2017-07-23,1.59
2017-07-30,1.61
2017-08-06,1.61
2017-08-13,1.77
2017-08-20,1.72
2017-08-27,1.75
2017-09-03,1.76
2017-09-10,1.74
2017-09-17,1.56
2017-09-24,1.56
2017-10-01,1.61
2017-10-08,1.56
2017-10-15,1.6
2017-10-22,1.58
2017-10-29,1.83
2017-11-05,1.95
2017-11-12,1.87
2017-11-19,1.81
2017-11-26,1.81
2017-12-03,1.88
2017-12-10,1.74
2017-12-17,1.82
2017-12-24,1.83
2017-12-31,1.86
2018-01-07,1.91
2018-01-14,1.73
2018-01-21,1.82
2018-01-28,1.72
2018-02-04,1.83
2018-02-11,1.85
2018-02-18,1.83
2018-02-25,1.79
2018-03-04,1.92
2018-03-11,1.85
2018-03-18,1.83
2018-03-25,1.74
