Date,AveragePrice
2015-01-04,1.24
2015-01-11,1.1
2015-01-18,1.24
2015-01-25,1.3
2015-02-01,1.11
2015-02-08,1.35
2015-02-15,1.52
2015-02-22,1.41
2015-03-01,1.15
2015-03-08,1.48
2015-03-15,1.52
2015-03-22,1.3
2015-03-29,1.53
2015-04-05,1.52
2015-04-12,1.5
2015-04-19,1.52
2015-04-26,1.5
2015-05-03,1.48
2015-05-10,1.4
2015-05-17,1.49
2015-05-24,1.5
2015-05-31,1.5
2015-06-07,1.67
2015-06-14,1.68
2015-06-21,1.69
2015-06-28,1.67
2015-07-05,1.67
2015-07-12,1.8
2015-07-19,1.89
2015-07-26,1.93
2015-08-02,1.99
2015-08-09,2.03
2015-08-16,1.96
2015-08-23,1.85
2015-08-30,1.98
2015-09-06,1.99
2015-09-13,1.97
2015-09-20,1.92
2015-09-27,1.85
2015-10-04,2.0
2015-10-11,2.07
2015-10-18,2.01
2015-10-25,1.64
2015-11-01,1.6
2015-11-08,1.66
2015-11-15,1.59
2015-11-22,1.6
2015-11-29,1.75
2015-12-06,1.48
2015-12-13,1.39
2015-12-20,1.35
2015-12-27,1.45
2016-01-03,1.43
2016-01-10,1.33
2016-01-17,1.45
2016-01-24,1.36
2016-01-31,1.43
2016-02-07,1.38
2016-02-14,1.47
2016-02-21,1.43
2016-02-28,1.28
2016-03-06,1.32
2016-03-13,1.41
2016-03-20,1.46
2016-03-27,1.42
2016-04-03,1.39
2016-04-10,1.4
2016-04-17,1.39
2016-04-24,1.39
2016-05-01,1.24
2016-05-08,1.25
2016-05-15,1.5
2016-05-22,1.37
2016-05-29,1.49
2016-06-05,1.55
2016-06-12,1.5
2016-06-19,1.57
2016-06-26,1.51
2016-07-03,1.58
2016-07-10,1.51
2016-07-17,1.59
2016-07-24,1.56
2016-07-31,1.56
2016-08-07,1.48
2016-08-14,1.47
2016-08-21,1.53
2016-08-28,1.63
2016-09-04,1.65
2016-09-11,1.55
2016-09-18,1.84
2016-09-25,1.95
2016-10-02,1.91
2016-10-09,1.98
2016-10-16,2.02
2016-10-23,2.58
2016-10-30,2.49
2016-11-06,2.37
2016-11-13,2.13
2016-11-20,2.1
2016-11-27,2.04
2016-12-04,1.89
2016-12-11,1.64
2016-12-18,1.61
2016-12-25,1.53
2017-01-01,1.46
2017-01-08,1.5
2017-01-15,1.66
2017-01-22,1.53
2017-01-29,1.44
2017-02-05,1.36
2017-02-12,1.54
2017-02-19,1.5
2017-02-26,1.34
2017-03-05,1.45
2017-03-12,1.53
2017-03-19,1.57
2017-03-26,1.7
2017-04-02,1.64
2017-04-09,1.63
2017-04-16,1.67
2017-04-23,1.6
2017-04-30,1.61
2017-05-07,1.59
2017-05-14,1.76
2017-05-21,1.78
2017-05-28,1.76
2017-06-04,1.64
2017-06-11,1.79
2017-06-18,1.78
2017-06-25,1.66
2017-07-02,1.73
2017-07-09,1.62
2017-07-16,2.14
2017-07-23,2.17
2017-07-30,2.14
2017-08-06,2.18
2017-08-13,2.21
2017-08-20,2.37
2017-08-27,2.54
2017-09-03,2.09
2017-09-10,2.2
2017-09-17,2.18
2017-09-24,2.05
2017-10-01,2.08
2017-10-08,2.17
2017-10-15,2.1
2017-10-22,2.0
2017-10-29,2.01
2017-11-05,1.76
2017-11-12,1.99
2017-11-19,1.98
2017-11-26,2.0
2017-12-03,1.81
2017-12-10,1.89
2017-12-17,1.75
2017-12-24,1.82
2017-12-31,1.71
2018-01-07,1.95
2018-01-14,1.61
2018-01-21,1.69
2018-01-28,1.87
2018-02-04,1.56
2018-02-11,1.85
2018-02-18,1.97
2018-02-25,1.82
2018-03-04,1.57
2018-03-11,1.58
2018-03-18,1.75
2018-03-25,1.7
