Date,AveragePrice
2015-01-04,2.13
2015-01-11,2.29
2015-01-18,2.15
2015-01-25,2.29
2015-02-01,1.93
2015-02-08,1.87
2015-02-15,1.92
2015-02-22,1.9
2015-03-01,1.9
2015-03-08,1.84
2015-03-15,1.87
2015-03-22,1.9
2015-03-29,1.96
2015-04-05,2.08
2015-04-12,2.12
2015-04-19,2.06
2015-04-26,2.18
2015-05-03,1.8
2015-05-10,2.05
2015-05-17,1.26
2015-05-24,2.07
2015-05-31,2.14
2015-06-07,2.02
2015-06-14,2.06
2015-06-21,2.19
2015-06-28,2.15
2015-07-05,2.16
2015-07-12,2.13
2015-07-19,2.05
2015-07-26,2.08
2015-08-02,2.11
2015-08-09,1.98
2015-08-16,2.04
2015-08-23,2.06
2015-08-30,2.01
2015-09-06,2.01
2015-09-13,2.02
2015-09-20,1.97
2015-09-27,2.16
2015-10-04,2.06
2015-10-11,1.94
2015-10-18,1.97
2015-10-25,1.93
2015-11-01,1.92
2015-11-08,1.91
2015-11-15,1.94
2015-11-22,1.97
2015-11-29,1.96
2015-12-06,1.95
2015-12-13,1.9
2015-12-20,1.9
2015-12-27,1.9
2016-01-03,1.78
2016-01-10,1.77
2016-01-17,1.92
2016-01-24,1.76
2016-01-31,1.75
2016-02-07,1.82
2016-02-14,1.75
2016-02-21,1.81
2016-02-28,1.83
2016-03-06,1.79
2016-03-13,1.7
2016-03-20,1.57
2016-03-27,1.69
2016-04-03,1.71
2016-04-10,1.6
2016-04-17,1.77
2016-04-24,1.67
2016-05-01,1.68
2016-05-08,1.79
2016-05-15,1.69
2016-05-22,1.71
2016-05-29,1.66
2016-06-05,1.6
2016-06-12,1.76
2016-06-19,1.72
2016-06-26,1.59
2016-07-03,1.72
2016-07-10,1.81
2016-07-17,1.58
2016-07-24,1.62
2016-07-31,1.64
2016-08-07,1.65
2016-08-14,1.82
2016-08-21,1.78
2016-08-28,1.78
2016-09-04,1.81
2016-09-11,1.75
2016-09-18,1.74
2016-09-25,1.8
2016-10-02,1.78
2016-10-09,1.64
2016-10-16,1.64
2016-10-23,1.64
2016-10-30,1.66
2016-11-06,1.92
2016-11-13,1.94
2016-11-20,1.95
2016-11-27,2.03
2016-12-04,1.99
2016-12-11,1.68
2016-12-18,1.59
2016-12-25,1.62
2017-01-01,1.7
2017-01-08,1.49
2017-01-15,1.5
2017-01-22,1.48
2017-01-29,1.5
2017-02-05,1.62
2017-02-12,1.63
2017-02-19,1.67
2017-02-26,1.7
2017-03-05,1.78
2017-03-12,1.86
2017-03-19,1.96
2017-03-26,2.01
2017-04-02,1.95
2017-04-09,2.02
2017-04-16,2.05
2017-04-23,2.58
2017-04-30,2.53
2017-05-07,2.31
2017-05-14,2.21
2017-05-21,2.48
2017-05-28,2.5
2017-06-04,2.47
2017-06-11,2.15
2017-06-18,2.03
2017-06-25,1.99
2017-07-02,2.09
2017-07-09,2.06
2017-07-16,1.99
2017-07-23,2.0
2017-07-30,2.07
2017-08-06,2.36
2017-08-13,2.35
2017-08-20,2.48
2017-08-27,2.83
2017-09-03,2.82
2017-09-10,2.8
2017-09-17,2.77
2017-09-24,2.55
2017-10-01,2.82
2017-10-08,2.67
2017-10-15,2.38
2017-10-22,2.08
2017-10-29,2.02
2017-11-05,2.22
2017-11-12,2.15
2017-11-19,2.13
2017-11-26,2.11
2017-12-03,1.9
2017-12-10,1.91
2017-12-17,1.86
2017-12-24,1.83
2017-12-31,1.71
2018-01-07,1.08
2018-01-14,1.45
2018-01-21,1.62
2018-01-28,1.76
2018-02-04,1.89
2018-02-11,1.92
2018-02-18,1.83
2018-02-25,1.91
2018-03-04,1.88
2018-03-11,1.73
2018-03-18,1.75
2018-03-25,1.77
