Date,AveragePrice
2015-01-04,1.49
2015-01-11,1.79
2015-01-18,1.81
2015-01-25,1.83
2015-02-01,1.52
2015-02-08,1.78
2015-02-15,1.81
2015-02-22,1.83
2015-03-01,1.82
2015-03-08,1.62
2015-03-15,1.64
2015-03-22,1.67
2015-03-29,1.66
2015-04-05,1.65
2015-04-12,1.3
2015-04-19,1.55
2015-04-26,1.51
2015-05-03,1.51
2015-05-10,1.47
2015-05-17,1.57
2015-05-24,1.86
2015-05-31,1.85
2015-06-07,1.85
2015-06-14,1.87
2015-06-21,1.82
2015-06-28,1.68
2015-07-05,1.67
2015-07-12,1.66
2015-07-19,1.65
2015-07-26,1.62
2015-08-02,1.59
2015-08-09,1.62
2015-08-16,1.62
2015-08-23,1.61
2015-08-30,1.6
2015-09-06,1.61
2015-09-13,1.61
2015-09-20,1.6
2015-09-27,1.67
2015-10-04,1.78
2015-10-11,1.69
2015-10-18,1.79
2015-10-25,1.61
2015-11-01,1.6
2015-11-08,1.59
2015-11-15,1.58
2015-11-22,1.57
2015-11-29,1.59
2015-12-06,1.59
2015-12-13,1.59
2015-12-20,1.58
2015-12-27,1.58
2016-01-03,1.62
2016-01-10,1.62
2016-01-17,1.52
2016-01-24,1.62
2016-01-31,1.61
2016-02-07,1.6
2016-02-14,1.58
2016-02-21,1.55
2016-02-28,1.6
2016-03-06,1.49
2016-03-13,1.5
2016-03-20,1.5
2016-03-27,1.5
2016-04-03,1.66
2016-04-10,1.68
2016-04-17,1.55
2016-04-24,1.63
2016-05-01,1.61
2016-05-08,1.62
2016-05-15,1.61
2016-05-22,1.33
2016-05-29,1.08
2016-06-05,1.24
2016-06-12,1.53
2016-06-19,1.53
2016-06-26,1.8
2016-07-03,1.5
2016-07-10,2.01
2016-07-17,1.89
2016-07-24,1.93
2016-07-31,2.11
2016-08-07,2.13
2016-08-14,2.09
2016-08-21,2.08
2016-08-28,2.09
2016-09-04,2.08
2016-09-11,2.07
2016-09-18,2.06
2016-09-25,2.05
2016-10-02,2.05
2016-10-09,2.04
2016-10-16,2.11
2016-10-23,2.2
2016-10-30,2.23
2016-11-06,2.24
2016-11-13,2.25
2016-11-20,2.3
2016-11-27,2.3
2016-12-04,1.71
2016-12-11,1.32
2016-12-18,1.34
2016-12-25,1.34
2017-01-01,1.34
2017-01-08,1.81
2017-01-15,1.85
2017-01-22,1.51
2017-01-29,1.51
2017-02-05,1.49
2017-02-12,1.53
2017-02-19,1.6
2017-02-26,1.69
2017-03-05,1.64
2017-03-12,1.93
2017-03-19,1.68
2017-03-26,1.67
2017-04-02,1.94
2017-04-09,1.95
2017-04-16,1.74
2017-04-23,1.67
2017-04-30,1.97
2017-05-07,1.95
2017-05-14,1.93
2017-05-21,1.94
2017-05-28,1.93
2017-06-04,1.94
2017-06-11,1.96
2017-06-18,1.98
2017-06-25,1.98
2017-07-02,1.98
2017-07-09,1.99
2017-07-16,1.83
2017-07-23,1.88
2017-07-30,1.9
2017-08-06,1.74
2017-08-13,1.69
2017-08-20,1.71
2017-08-27,2.11
2017-09-03,2.05
2017-09-10,1.96
2017-09-17,2.13
2017-09-24,1.92
2017-10-01,1.84
2017-10-08,1.8
2017-10-15,1.9
2017-10-22,2.1
2017-10-29,2.06
2017-11-05,1.95
2017-11-12,2.06
2017-11-19,1.79
2017-11-26,1.73
2017-12-03,1.75
2017-12-10,1.65
2017-12-17,1.39
2017-12-24,1.81
2017-12-31,1.79
2018-01-07,1.83
2018-01-14,1.79
2018-01-21,1.82
2018-01-28,1.72
2018-02-04,1.62
2018-02-11,1.65
2018-02-18,1.66
2018-02-25,1.68
2018-03-04,1.62
2018-03-11,1.66
2018-03-18,1.66
2018-03-25,1.69
