Date,AveragePrice
2015-01-04,1.35
2015-01-11,1.35
2015-01-18,1.28
2015-01-25,1.34
2015-02-01,1.24
2015-02-08,1.35
2015-02-15,1.41
2015-02-22,1.38
2015-03-01,1.29
2015-03-08,1.39
2015-03-15,1.34
2015-03-22,1.29
2015-03-29,1.36
2015-04-05,1.36
2015-04-12,1.39
2015-04-19,1.35
2015-04-26,1.34
2015-05-03,1.37
2015-05-10,1.39
2015-05-17,1.35
2015-05-24,1.36
2015-05-31,1.38
2015-06-07,1.35
2015-06-14,1.35
2015-06-21,1.37
2015-06-28,1.33
2015-07-05,1.3
2015-07-12,1.27
2015-07-19,1.29
2015-07-26,1.14
2015-08-02,1.31
2015-08-09,1.4
2015-08-16,1.45
2015-08-23,1.36
2015-08-30,1.36
2015-09-06,1.46
2015-09-13,1.48
2015-09-20,1.47
2015-09-27,1.48
2015-10-04,1.49
2015-10-11,1.48
2015-10-18,1.39
2015-10-25,1.48
2015-11-01,1.41
2015-11-08,1.46
2015-11-15,1.36
2015-11-22,1.46
2015-11-29,1.46
2015-12-06,1.48
2015-12-13,1.43
2015-12-20,1.38
2015-12-27,1.33
2016-01-03,1.26
2016-01-10,1.34
2016-01-17,1.25
2016-01-24,1.35
2016-01-31,1.36
2016-02-07,1.27
2016-02-14,1.27
2016-02-21,1.18
2016-02-28,1.19
2016-03-06,1.15
2016-03-13,1.2
2016-03-20,1.16
2016-03-27,1.25
2016-04-03,1.18
2016-04-10,1.16
2016-04-17,1.11
2016-04-24,1.0
2016-05-01,1.09
2016-05-08,1.04
2016-05-15,1.06
2016-05-22,1.0
2016-05-29,1.0
2016-06-05,1.05
2016-06-12,1.08
2016-06-19,1.05
2016-06-26,1.04
2016-07-03,0.99
2016-07-10,1.04
2016-07-17,1.05
2016-07-24,0.99
2016-07-31,1.03
2016-08-07,1.12
2016-08-14,0.86
2016-08-21,0.86
2016-08-28,1.02
2016-09-04,1.05
2016-09-11,1.16
2016-09-18,1.31
2016-09-25,1.35
2016-10-02,1.42
2016-10-09,1.25
2016-10-16,1.27
2016-10-23,1.37
2016-10-30,1.34
2016-11-06,1.36
2016-11-13,1.32
2016-11-20,1.37
2016-11-27,1.34
2016-12-04,1.25
2016-12-11,1.14
2016-12-18,1.11
2016-12-25,1.12
2017-01-01,1.06
2017-01-08,1.02
2017-01-15,1.04
2017-01-22,1.03
2017-01-29,1.16
2017-02-05,1.3
2017-02-12,1.35
2017-02-19,1.17
2017-02-26,1.05
2017-03-05,1.04
2017-03-12,1.11
2017-03-19,1.1
2017-03-26,1.14
2017-04-02,1.41
2017-04-09,1.24
2017-04-16,1.12
2017-04-23,1.34
2017-04-30,1.28
2017-05-07,1.35
2017-05-14,1.45
2017-05-21,1.46
2017-05-28,1.13
2017-06-04,1.08
2017-06-11,1.35
2017-06-18,1.44
2017-06-25,1.33
2017-07-02,1.02
2017-07-09,1.06
2017-07-16,1.49
2017-07-23,1.57
2017-07-30,1.62
2017-08-06,1.63
2017-08-13,1.68
2017-08-20,1.8
2017-08-27,1.9
2017-09-03,1.81
2017-09-10,1.81
2017-09-17,1.79
2017-09-24,1.68
2017-10-01,1.7
2017-10-08,1.73
2017-10-15,1.71
2017-10-22,1.69
2017-10-29,1.67
2017-11-05,1.64
2017-11-12,1.7
2017-11-19,1.63
2017-11-26,1.65
2017-12-03,1.66
2017-12-10,1.53
2017-12-17,1.41
2017-12-24,1.44
2017-12-31,1.48
2018-01-07,1.45
2018-01-14,1.54
2018-01-21,1.5
2018-01-28,1.45
2018-02-04,1.37
2018-02-11,1.34
2018-02-18,1.36
2018-02-25,1.34
2018-03-04,1.38
2018-03-11,1.3
2018-03-18,1.32
2018-03-25,1.46
