Date,AveragePrice
2015-01-04,1.48
2015-01-11,1.79
2015-01-18,1.79
2015-01-25,1.68
2015-02-01,1.55
2015-02-08,1.61
2015-02-15,1.75
2015-02-22,1.67
2015-03-01,1.65
2015-03-08,1.72
2015-03-15,1.65
2015-03-22,1.76
2015-03-29,1.63
2015-04-05,1.59
2015-04-12,1.42
2015-04-19,1.37
2015-04-26,1.67
2015-05-03,1.38
2015-05-10,1.04
2015-05-17,1.44
2015-05-24,1.51
2015-05-31,1.34
2015-06-07,1.24
2015-06-14,1.58
2015-06-21,1.46
2015-06-28,1.49
2015-07-05,1.49
2015-07-12,1.48
2015-07-19,1.18
2015-07-26,1.03
2015-08-02,1.37
2015-08-09,1.37
2015-08-16,1.52
2015-08-23,1.49
2015-08-30,1.44
2015-09-06,1.38
2015-09-13,1.69
2015-09-20,1.65
2015-09-27,1.79
2015-10-04,1.87
2015-10-11,1.65
2015-10-18,1.52
2015-10-25,1.64
2015-11-01,1.65
2015-11-08,1.68
2015-11-15,1.83
2015-11-22,1.87
2015-11-29,1.19
2015-12-06,1.19
2015-12-13,1.52
2015-12-20,1.8
2015-12-27,1.82
2016-01-03,1.74
2016-01-10,1.68
2016-01-17,1.85
2016-01-24,1.49
2016-01-31,1.55
2016-02-07,1.59
2016-02-14,1.72
2016-02-21,1.64
2016-02-28,1.69
2016-03-06,0.96
2016-03-13,1.08
2016-03-20,1.51
2016-03-27,1.32
2016-04-03,1.43
2016-04-10,1.41
2016-04-17,1.4
2016-04-24,1.22
2016-05-01,1.35
2016-05-08,1.47
2016-05-15,1.48
2016-05-22,1.28
2016-05-29,1.5
2016-06-05,1.19
2016-06-12,1.31
2016-06-19,0.85
2016-06-26,1.24
2016-07-03,1.05
2016-07-10,1.25
2016-07-17,1.26
2016-07-24,1.8
2016-07-31,1.3
2016-08-07,1.32
2016-08-14,1.59
2016-08-21,1.53
2016-08-28,1.23
2016-09-04,1.04
2016-09-11,1.07
2016-09-18,1.31
2016-09-25,1.81
2016-10-02,1.87
2016-10-09,1.08
2016-10-16,1.24
2016-10-23,1.03
2016-10-30,1.82
2016-11-06,1.17
2016-11-13,0.94
2016-11-20,0.93
2016-11-27,1.26
2016-12-04,1.28
2016-12-11,1.16
2016-12-18,1.23
2016-12-25,1.53
2017-01-01,1.59
2017-01-08,1.55
2017-01-15,1.6
2017-01-22,1.31
2017-01-29,1.45
2017-02-05,1.36
2017-02-12,0.8
2017-02-19,0.56
2017-02-26,0.77
2017-03-05,0.56
2017-03-12,0.65
2017-03-19,0.95
2017-03-26,0.74
2017-04-02,1.38
2017-04-09,1.91
2017-04-16,1.34
2017-04-23,1.59
2017-04-30,1.4
2017-05-07,1.48
2017-05-14,1.15
2017-05-21,1.29
2017-05-28,1.32
2017-06-04,1.34
2017-06-11,1.0
2017-06-18,1.19
2017-06-25,1.45
2017-07-02,1.26
2017-07-09,1.61
2017-07-16,1.55
2017-07-23,1.6
2017-07-30,1.56
2017-08-06,1.73
2017-08-13,1.67
2017-08-20,1.86
2017-08-27,1.9
2017-09-03,1.98
2017-09-10,2.0
2017-09-17,2.12
2017-09-24,2.21
2017-10-01,2.29
2017-10-08,2.15
2017-10-15,1.88
2017-10-22,1.82
2017-10-29,1.84
2017-11-05,1.7
2017-11-12,1.69
2017-11-19,1.62
2017-11-26,1.63
2017-12-03,1.59
2017-12-10,1.54
2017-12-17,1.57
2017-12-24,1.58
2017-12-31,1.16
2018-01-07,1.38
2018-01-14,1.54
2018-01-21,1.6
2018-01-28,1.48
2018-02-04,1.48
2018-02-11,1.56
2018-02-18,1.59
2018-02-25,1.59
2018-03-04,1.43
2018-03-11,1.35
2018-03-18,1.38
2018-03-25,1.46
