Date,AveragePrice
2015-01-04,1.93
2015-01-11,2.03
2015-01-18,2.08
2015-01-25,2.02
2015-02-01,1.93
2015-02-08,1.95
2015-02-15,1.91
2015-02-22,2.21
2015-03-01,2.0
2015-03-08,1.9
2015-03-15,1.81
2015-03-22,2.02
2015-03-29,2.08
2015-04-05,2.14
2015-04-12,1.86
2015-04-19,2.04
2015-04-26,2.21
2015-05-03,2.14
2015-05-10,1.93
2015-05-17,2.06
2015-05-24,2.17
2015-05-31,1.93
2015-06-07,2.31
2015-06-14,2.0
2015-06-21,2.34
2015-06-28,1.93
2015-07-05,2.24
2015-07-12,2.02
2015-07-19,2.2
2015-07-26,1.91
2015-08-02,2.12
2015-08-09,1.98
2015-08-16,2.3
2015-08-23,2.28
2015-08-30,2.24
2015-09-06,2.01
2015-09-13,2.18
2015-09-20,2.01
2015-09-27,2.22
2015-10-04,2.25
2015-10-11,2.09
2015-10-18,2.07
2015-10-25,1.94
2015-11-01,2.09
2015-11-08,1.82
2015-11-15,1.76
2015-11-22,1.84
2015-11-29,1.89
2015-12-06,1.65
2015-12-13,1.9
2015-12-20,1.93
2015-12-27,1.9
2016-01-03,1.61
2016-01-10,1.54
2016-01-17,1.93
2016-01-24,2.09
2016-01-31,1.83
2016-02-07,1.95
2016-02-14,2.11
2016-02-21,1.9
2016-02-28,1.96
2016-03-06,1.86
2016-03-13,1.96
2016-03-20,1.92
2016-03-27,2.12
2016-04-03,2.08
2016-04-10,2.2
2016-04-17,1.98
2016-04-24,2.11
2016-05-01,2.16
2016-05-08,2.0
2016-05-15,2.02
2016-05-22,2.01
2016-05-29,2.15
2016-06-05,2.15
2016-06-12,1.94
2016-06-19,2.26
2016-06-26,2.23
2016-07-03,2.28
2016-07-10,2.33
2016-07-17,2.4
2016-07-24,2.32
2016-07-31,2.41
2016-08-07,2.37
2016-08-14,2.27
2016-08-21,2.16
2016-08-28,2.32
2016-09-04,2.15
2016-09-11,2.06
2016-09-18,2.36
2016-09-25,2.34
2016-10-02,2.41
2016-10-09,2.3
2016-10-16,2.33
2016-10-23,2.1
2016-10-30,2.25
2016-11-06,2.46
2016-11-13,2.65
2016-11-20,2.04
2016-11-27,2.38
2016-12-04,2.04
2016-12-11,2.22
2016-12-18,1.99
2016-12-25,2.17
2017-01-01,2.06
2017-01-08,2.15
2017-01-15,2.09
2017-01-22,2.05
2017-01-29,2.08
2017-02-05,2.03
2017-02-12,1.98
2017-02-19,1.36
2017-02-26,1.77
2017-03-05,1.81
2017-03-12,2.26
2017-03-19,1.86
2017-03-26,2.18
2017-04-02,1.86
2017-04-09,2.22
2017-04-16,1.9
2017-04-23,2.23
2017-04-30,1.9
2017-05-07,2.34
2017-05-14,2.41
2017-05-21,2.39
2017-05-28,2.38
2017-06-04,2.06
2017-06-11,2.39
2017-06-18,1.91
2017-06-25,2.36
2017-07-02,2.44
2017-07-09,2.48
2017-07-16,1.79
2017-07-23,1.85
2017-07-30,1.88
2017-08-06,1.91
2017-08-13,2.07
2017-08-20,1.85
2017-08-27,2.13
2017-09-03,2.14
2017-09-10,2.07
2017-09-17,2.08
2017-09-24,2.06
2017-10-01,2.04
2017-10-08,2.06
2017-10-15,2.09
2017-10-22,2.08
2017-10-29,2.11
2017-11-05,2.05
2017-11-12,2.05
2017-11-19,2.07
2017-11-26,2.02
2017-12-03,1.81
2017-12-10,1.79
2017-12-17,1.84
2017-12-24,1.85
2017-12-31,1.83
2018-01-07,1.97
2018-01-14,1.91
2018-01-21,1.91
2018-01-28,1.75
2018-02-04,1.83
2018-02-11,1.92
2018-02-18,1.36
2018-02-25,1.72
2018-03-04,1.69
2018-03-11,1.92
2018-03-18,1.7
2018-03-25,1.86
