Date,AveragePrice
2015-01-04,1.33
2015-01-11,1.27
2015-01-18,1.13
2015-01-25,1.44
2015-02-01,1.22
2015-02-08,1.5
2015-02-15,1.63
2015-02-22,1.51
2015-03-01,1.22
2015-03-08,1.6
2015-03-15,1.63
2015-03-22,1.52
2015-03-29,1.64
2015-04-05,1.64
2015-04-12,1.65
2015-04-19,1.65
2015-04-26,1.62
2015-05-03,1.64
2015-05-10,1.3
2015-05-17,1.53
2015-05-24,1.62
2015-05-31,1.62
2015-06-07,1.85
2015-06-14,1.81
2015-06-21,1.82
2015-06-28,1.84
2015-07-05,1.86
2015-07-12,1.72
2015-07-19,1.98
2015-07-26,2.12
2015-08-02,2.1
2015-08-09,2.17
2015-08-16,2.09
2015-08-23,1.84
2015-08-30,2.1
2015-09-06,2.15
2015-09-13,2.02
2015-09-20,2.0
2015-09-27,1.95
2015-10-04,2.01
2015-10-11,2.1
2015-10-18,2.14
2015-10-25,1.86
2015-11-01,1.9
2015-11-08,1.8
2015-11-15,1.87
2015-11-22,1.79
2015-11-29,2.04
2015-12-06,1.43
2015-12-13,1.68
2015-12-20,1.68
2015-12-27,1.72
2016-01-03,1.68
2016-01-10,1.68
2016-01-17,1.72
2016-01-24,1.73
2016-01-31,1.73
2016-02-07,1.72
2016-02-14,1.98
2016-02-21,2.04
2016-02-28,2.01
2016-03-06,1.88
2016-03-13,2.04
2016-03-20,1.96
2016-03-27,2.07
2016-04-03,2.03
2016-04-10,2.05
2016-04-17,1.95
2016-04-24,2.01
2016-05-01,1.41
2016-05-08,1.4
2016-05-15,1.72
2016-05-22,2.01
2016-05-29,1.99
2016-06-05,2.08
2016-06-12,2.11
2016-06-19,2.13
2016-06-26,1.79
2016-07-03,2.13
2016-07-10,2.13
2016-07-17,2.14
2016-07-24,2.15
2016-07-31,2.19
2016-08-07,2.2
2016-08-14,1.96
2016-08-21,2.19
2016-08-28,2.23
2016-09-04,2.19
2016-09-11,2.19
2016-09-18,2.17
2016-09-25,2.18
2016-10-02,2.33
2016-10-09,2.39
2016-10-16,2.13
2016-10-23,2.23
2016-10-30,2.44
2016-11-06,2.82
2016-11-13,2.65
2016-11-20,2.54
2016-11-27,2.61
2016-12-04,2.52
2016-12-11,2.46
2016-12-18,2.36
2016-12-25,2.41
2017-01-01,2.24
2017-01-08,2.15
2017-01-15,2.31
2017-01-22,1.89
2017-01-29,2.02
2017-02-05,1.6
2017-02-12,2.25
2017-02-19,2.32
2017-02-26,2.06
2017-03-05,2.5
2017-03-12,2.36
2017-03-19,2.46
2017-03-26,2.44
2017-04-02,2.31
2017-04-09,2.37
2017-04-16,2.35
2017-04-23,2.29
2017-04-30,2.39
2017-05-07,2.52
2017-05-14,2.43
2017-05-21,2.4
2017-05-28,2.46
2017-06-04,2.43
2017-06-11,2.5
2017-06-18,2.48
2017-06-25,2.37
2017-07-02,2.32
2017-07-09,2.36
2017-07-16,2.19
2017-07-23,1.97
2017-07-30,1.86
2017-08-06,1.99
2017-08-13,2.09
2017-08-20,2.33
2017-08-27,2.49
2017-09-03,2.15
2017-09-10,1.96
2017-09-17,1.92
2017-09-24,1.89
2017-10-01,1.86
2017-10-08,1.84
2017-10-15,1.92
2017-10-22,1.81
2017-10-29,1.86
2017-11-05,1.74
2017-11-12,1.81
2017-11-19,1.69
2017-11-26,1.72
2017-12-03,1.69
2017-12-10,1.75
2017-12-17,1.72
2017-12-24,1.68
2017-12-31,1.61
2018-01-07,2.18
2018-01-14,1.6
2018-01-21,1.62
2018-01-28,1.99
2018-02-04,1.5
2018-02-11,1.87
2018-02-18,1.88
2018-02-25,1.78
2018-03-04,1.83
2018-03-11,1.9
2018-03-18,1.68
2018-03-25,1.63
