Date,AveragePrice
2015-01-04,1.49
2015-01-11,1.46
2015-01-18,1.45
2015-01-25,1.7
2015-02-01,1.44
2015-02-08,1.4
2015-02-15,1.59
2015-02-22,1.5
2015-03-01,1.71
2015-03-08,1.62
2015-03-15,1.8
2015-03-22,1.53
2015-03-29,1.56
2015-04-05,1.92
2015-04-12,1.59
2015-04-19,1.76
2015-04-26,1.66
2015-05-03,1.56
2015-05-10,1.66
2015-05-17,1.81
2015-05-24,1.85
2015-05-31,1.65
2015-06-07,2.01
2015-06-14,2.03
2015-06-21,1.75
2015-06-28,1.71
2015-07-05,1.98
2015-07-12,2.23
2015-07-19,1.64
2015-07-26,2.2
2015-08-02,2.04
2015-08-09,1.96
2015-08-16,1.7
2015-08-23,1.9
2015-08-30,1.58
2015-09-06,1.99
2015-09-13,2.11
2015-09-20,1.97
2015-09-27,1.75
2015-10-04,1.73
2015-10-11,1.75
2015-10-18,1.88
2015-10-25,1.74
2015-11-01,1.25
2015-11-08,1.46
2015-11-15,1.5
2015-11-22,1.14
2015-11-29,2.06
2015-12-06,2.06
2015-12-13,1.03
2015-12-20,1.55
2015-12-27,1.51
2016-01-03,1.58
2016-01-10,1.29
2016-01-17,1.26
2016-01-24,1.47
2016-01-31,1.36
2016-02-07,1.26
2016-02-14,0.98
2016-02-21,1.41
2016-02-28,1.46
2016-03-06,1.22
2016-03-13,1.18
2016-03-20,0.98
2016-03-27,1.55
2016-04-03,1.27
2016-04-10,0.89
2016-04-17,1.51
2016-04-24,1.31
2016-05-01,1.25
2016-05-08,1.2
2016-05-15,1.71
2016-05-22,1.55
2016-05-29,1.62
2016-06-05,1.76
2016-06-12,1.87
2016-06-19,1.75
2016-06-26,1.74
2016-07-03,1.65
2016-07-10,1.8
2016-07-17,2.11
2016-07-24,1.95
2016-07-31,1.34
2016-08-07,1.81
2016-08-14,2.19
2016-08-21,1.83
2016-08-28,2.24
2016-09-04,2.09
2016-09-11,1.39
2016-09-18,1.59
2016-09-25,1.69
2016-10-02,1.45
2016-10-09,1.73
2016-10-16,1.59
2016-10-23,2.24
2016-10-30,2.73
2016-11-06,1.69
2016-11-13,2.28
2016-11-20,1.59
2016-11-27,1.53
2016-12-04,1.45
2016-12-11,1.54
2016-12-18,1.08
2016-12-25,0.81
2017-01-01,1.23
2017-01-08,1.23
2017-01-15,1.25
2017-01-22,1.32
2017-01-29,1.22
2017-02-05,0.98
2017-02-12,1.79
2017-02-19,2.26
2017-02-26,1.58
2017-03-05,0.99
2017-03-12,1.18
2017-03-19,1.52
2017-03-26,0.7
2017-04-02,1.02
2017-04-09,1.44
2017-04-16,1.45
2017-04-23,1.39
2017-04-30,1.39
2017-05-07,1.51
2017-05-14,1.62
2017-05-21,1.53
2017-05-28,1.46
2017-06-04,1.45
2017-06-11,1.6
2017-06-18,1.83
2017-06-25,2.65
2017-07-02,2.35
2017-07-09,2.12
2017-07-16,2.61
2017-07-23,2.61
2017-07-30,2.6
2017-08-06,2.58
2017-08-13,2.65
2017-08-20,2.87
2017-08-27,2.96
2017-09-03,2.89
2017-09-10,2.87
2017-09-17,2.86
2017-09-24,2.83
2017-10-01,2.86
2017-10-08,2.8
2017-10-15,2.69
2017-10-22,2.3
2017-10-29,2.43
2017-11-05,2.34
2017-11-12,2.06
2017-11-19,2.03
2017-11-26,1.76
2017-12-03,1.19
2017-12-10,1.07
2017-12-17,1.25
2017-12-24,1.75
2017-12-31,1.24
2018-01-07,1.26
2018-01-14,2.03
2018-01-21,2.02
2018-01-28,1.99
2018-02-04,1.14
2018-02-11,1.22
2018-02-18,1.86
2018-02-25,1.36
2018-03-04,1.27
2018-03-11,1.54
2018-03-18,1.83
2018-03-25,1.48
