Date,AveragePrice
2015-01-04,1.8
2015-01-11,1.84
2015-01-18,1.92
2015-01-25,1.93
2015-02-01,1.93
2015-02-08,1.89
2015-02-15,1.82
2015-02-22,1.8
2015-03-01,1.85
2015-03-08,1.65
2015-03-15,1.81
2015-03-22,1.83
2015-03-29,2.09
2015-04-05,2.13
2015-04-12,2.05
2015-04-19,2.09
2015-04-26,2.03
2015-05-03,2.0
2015-05-10,2.0
2015-05-17,2.01
2015-05-24,2.04
2015-05-31,2.06
2015-06-07,1.92
2015-06-14,1.85
2015-06-21,1.83
2015-06-28,2.0
2015-07-05,1.86
2015-07-12,1.92
2015-07-19,1.86
2015-07-26,1.91
2015-08-02,1.87
2015-08-09,1.97
2015-08-16,2.07
2015-08-23,1.97
2015-08-30,1.92
2015-09-06,1.96
2015-09-13,1.87
2015-09-20,1.91
2015-09-27,1.94
2015-10-04,1.52
2015-10-11,1.57
2015-10-18,1.26
2015-10-25,1.2
2015-11-01,1.04
2015-11-08,1.48
2015-11-15,1.25
2015-11-22,1.35
2015-11-29,1.58
2015-12-06,2.12
2015-12-13,1.8
2015-12-20,1.34
2015-12-27,1.07
2016-01-03,0.86
2016-01-10,1.42
2016-01-17,0.98
2016-01-24,0.68
2016-01-31,0.91
2016-02-07,1.63
2016-02-14,1.71
2016-02-21,0.82
2016-02-28,0.9
2016-03-06,1.82
2016-03-13,1.1
2016-03-20,0.9
2016-03-27,0.88
2016-04-03,0.75
2016-04-10,0.58
2016-04-17,1.21
2016-04-24,0.69
2016-05-01,1.3
2016-05-08,1.47
2016-05-15,1.69
2016-05-22,2.03
2016-05-29,2.2
2016-06-05,1.96
2016-06-12,1.72
2016-06-19,1.83
2016-06-26,1.74
2016-07-03,1.75
2016-07-10,1.74
2016-07-17,2.0
2016-07-24,1.69
2016-07-31,1.57
2016-08-07,1.77
2016-08-14,1.97
2016-08-21,1.88
2016-08-28,1.04
2016-09-04,1.06
2016-09-11,1.52
2016-09-18,1.54
2016-09-25,1.5
2016-10-02,1.23
2016-10-09,1.23
2016-10-16,1.6
2016-10-23,1.12
2016-10-30,1.0
2016-11-06,1.29
2016-11-13,1.49
2016-11-20,1.04
2016-11-27,1.14
2016-12-04,1.43
2016-12-11,1.53
2016-12-18,1.35
2016-12-25,1.36
2017-01-01,1.46
2017-01-08,1.67
2017-01-15,1.45
2017-01-22,1.4
2017-01-29,1.36
2017-02-05,1.32
2017-02-12,1.04
2017-02-19,1.1
2017-02-26,1.18
2017-03-05,1.23
2017-03-12,1.16
2017-03-19,1.19
2017-03-26,1.24
2017-04-02,1.23
2017-04-09,1.42
2017-04-16,2.03
2017-04-23,1.93
2017-04-30,2.25
2017-05-07,1.7
2017-05-14,1.59
2017-05-21,1.94
2017-05-28,1.9
2017-06-04,1.95
2017-06-11,2.05
2017-06-18,1.63
2017-06-25,1.54
2017-07-02,1.55
2017-07-09,1.79
2017-07-16,2.22
2017-07-23,2.22
2017-07-30,2.11
2017-08-06,2.15
2017-08-13,2.28
2017-08-20,2.64
2017-08-27,2.84
2017-09-03,2.81
2017-09-10,2.69
2017-09-17,2.71
2017-09-24,2.49
2017-10-01,2.36
2017-10-08,2.27
2017-10-15,2.14
2017-10-22,2.02
2017-10-29,1.8
2017-11-05,1.77
2017-11-12,1.96
2017-11-19,1.64
2017-11-26,2.0
2017-12-03,1.81
2017-12-10,1.72
2017-12-17,1.63
2017-12-24,1.67
2017-12-31,1.54
2018-01-07,1.49
2018-01-14,1.97
2018-01-21,1.77
2018-01-28,1.76
2018-02-04,1.69
2018-02-11,1.75
2018-02-18,1.76
2018-02-25,1.69
2018-03-04,1.76
2018-03-11,1.71
2018-03-18,1.8
2018-03-25,1.82
