Date,AveragePrice
2015-01-04,1.44
2015-01-11,1.68
2015-01-18,1.84
2015-01-25,1.67
2015-02-01,1.63
2015-02-08,1.78
2015-02-15,1.64
2015-02-22,1.79
2015-03-01,1.86
2015-03-08,1.84
2015-03-15,1.65
2015-03-22,1.91
2015-03-29,1.79
2015-04-05,1.38
2015-04-12,1.66
2015-04-19,1.47
2015-04-26,1.57
2015-05-03,0.89
2015-05-10,0.81
2015-05-17,1.21
2015-05-24,1.51
2015-05-31,1.49
2015-06-07,1.21
2015-06-14,1.5
2015-06-21,1.35
2015-06-28,1.35
2015-07-05,1.31
2015-07-12,1.01
2015-07-19,1.46
2015-07-26,1.31
2015-08-02,1.8
2015-08-09,1.98
2015-08-16,2.08
2015-08-23,1.66
2015-08-30,1.48
2015-09-06,1.64
2015-09-13,1.74
2015-09-20,1.82
2015-09-27,1.67
2015-10-04,1.49
2015-10-11,1.27
2015-10-18,1.36
2015-10-25,1.44
2015-11-01,1.47
2015-11-08,1.4
2015-11-15,1.48
2015-11-22,1.48
2015-11-29,1.48
2015-12-06,1.52
2015-12-13,1.59
2015-12-20,1.67
2015-12-27,1.53
2016-01-03,1.51
2016-01-10,1.37
2016-01-17,1.44
2016-01-24,0.96
2016-01-31,1.28
2016-02-07,1.31
2016-02-14,1.25
2016-02-21,1.39
2016-02-28,1.43
2016-03-06,1.42
2016-03-13,1.37
2016-03-20,1.23
2016-03-27,1.54
2016-04-03,1.69
2016-04-10,1.52
2016-04-17,1.17
2016-04-24,0.99
2016-05-01,1.29
2016-05-08,1.14
2016-05-15,1.22
2016-05-22,1.31
2016-05-29,1.39
2016-06-05,1.43
2016-06-12,1.3
2016-06-19,0.99
2016-06-26,1.1
2016-07-03,1.02
2016-07-10,1.0
2016-07-17,1.2
2016-07-24,1.58
2016-07-31,1.4
2016-08-07,1.47
2016-08-14,1.54
2016-08-21,1.67
2016-08-28,1.32
2016-09-04,1.17
2016-09-11,1.12
2016-09-18,1.58
2016-09-25,1.3
2016-10-02,1.77
2016-10-09,1.03
2016-10-16,1.01
2016-10-23,1.18
2016-10-30,1.8
2016-11-06,0.89
2016-11-13,1.18
2016-11-20,1.31
2016-11-27,1.47
2016-12-04,1.36
2016-12-11,1.02
2016-12-18,1.64
2016-12-25,1.75
2017-01-01,1.58
2017-01-08,1.56
2017-01-15,1.73
2017-01-22,0.94
2017-01-29,1.49
2017-02-05,0.98
2017-02-12,1.0
2017-02-19,0.74
2017-02-26,0.66
2017-03-05,0.52
2017-03-12,0.83
2017-03-19,1.5
2017-03-26,0.72
2017-04-02,1.39
2017-04-09,0.97
2017-04-16,1.03
2017-04-23,1.63
2017-04-30,1.7
2017-05-07,1.61
2017-05-14,1.64
2017-05-21,1.44
2017-05-28,1.51
2017-06-04,1.44
2017-06-11,0.83
2017-06-18,1.14
2017-06-25,1.28
2017-07-02,1.46
2017-07-09,1.38
2017-07-16,1.69
2017-07-23,1.73
2017-07-30,1.61
