Date,AveragePrice
2015-01-04,1.42
2015-01-11,1.28
2015-01-18,1.1
2015-01-25,1.33
2015-02-01,1.29
2015-02-08,1.4
2015-02-15,1.44
2015-02-22,1.4
2015-03-01,1.27
2015-03-08,1.09
2015-03-15,1.12
2015-03-22,1.39
2015-03-29,1.44
2015-04-05,1.42
2015-04-12,1.42
2015-04-19,1.44
2015-04-26,1.03
2015-05-03,1.03
2015-05-10,1.23
2015-05-17,1.22
2015-05-24,1.43
2015-05-31,1.43
2015-06-07,1.44
2015-06-14,1.44
2015-06-21,1.43
2015-06-28,1.44
2015-07-05,1.42
2015-07-12,1.44
2015-07-19,1.45
2015-07-26,1.43
2015-08-02,1.43
2015-08-09,1.44
2015-08-16,1.45
2015-08-23,1.46
2015-08-30,1.45
2015-09-06,1.43
2015-09-13,1.36
2015-09-20,1.36
2015-09-27,1.35
2015-10-04,1.25
2015-10-11,1.28
2015-10-18,1.3
2015-10-25,1.27
2015-11-01,1.26
2015-11-08,1.14
2015-11-15,1.33
2015-11-22,1.39
2015-11-29,0.88
2015-12-06,0.92
2015-12-13,1.36
2015-12-20,1.35
2015-12-27,1.43
2016-01-03,1.05
2016-01-10,0.77
2016-01-17,1.15
2016-01-24,0.86
2016-01-31,0.95
2016-02-07,1.08
2016-02-14,1.18
2016-02-21,1.07
2016-02-28,1.06
2016-03-06,0.66
2016-03-13,0.74
2016-03-20,0.98
2016-03-27,1.24
2016-04-03,1.15
2016-04-10,0.94
2016-04-17,1.0
2016-04-24,0.74
2016-05-01,0.86
2016-05-08,0.7
2016-05-15,0.99
2016-05-22,0.92
2016-05-29,0.96
2016-06-05,1.32
2016-06-12,1.46
2016-06-19,1.52
2016-06-26,1.52
2016-07-03,1.2
2016-07-10,1.0
2016-07-17,1.6
2016-07-24,1.47
2016-07-31,1.79
2016-08-07,1.52
2016-08-14,1.19
2016-08-21,1.78
2016-08-28,1.47
2016-09-04,1.15
2016-09-11,1.4
2016-09-18,1.37
2016-09-25,1.72
2016-10-02,1.79
2016-10-09,1.49
2016-10-16,1.19
2016-10-23,1.71
2016-10-30,1.81
2016-11-06,1.74
2016-11-13,1.29
2016-11-20,1.72
2016-11-27,1.34
2016-12-04,0.85
2016-12-11,0.98
2016-12-18,1.47
2016-12-25,0.93
2017-01-01,0.91
2017-01-08,0.8
2017-01-15,0.73
2017-01-22,0.98
2017-01-29,1.49
2017-02-05,1.38
2017-02-12,1.44
2017-02-19,1.16
2017-02-26,0.78
2017-03-05,0.94
2017-03-12,0.98
2017-03-19,0.89
2017-03-26,0.85
2017-04-02,0.84
2017-04-09,0.89
2017-04-16,0.96
2017-04-23,0.9
2017-04-30,1.24
2017-05-07,0.9
2017-05-14,0.74
2017-05-21,1.38
2017-05-28,1.69
2017-06-04,1.97
2017-06-11,1.97
2017-06-18,1.25
2017-06-25,1.17
2017-07-02,1.44
2017-07-09,1.94
2017-07-16,1.83
2017-07-23,1.83
2017-07-30,1.83
