Date,AveragePrice
2015-01-04,1.7
2015-01-11,1.87
2015-01-18,1.9
2015-01-25,1.62
2015-02-01,1.55
2015-02-08,1.86
2015-02-15,1.82
2015-02-22,1.85
2015-03-01,1.92
2015-03-08,1.83
2015-03-15,1.49
2015-03-22,1.78
2015-03-29,1.74
2015-04-05,1.51
2015-04-12,1.72
2015-04-19,1.59
2015-04-26,1.63
2015-05-03,1.37
2015-05-10,1.09
2015-05-17,1.34
2015-05-24,1.61
2015-05-31,1.55
2015-06-07,1.28
2015-06-14,1.37
2015-06-21,1.64
2015-06-28,1.56
2015-07-05,1.47
2015-07-12,1.01
2015-07-19,1.24
2015-07-26,1.28
2015-08-02,1.66
2015-08-09,1.85
2015-08-16,1.74
2015-08-23,1.43
2015-08-30,1.32
2015-09-06,1.47
2015-09-13,1.81
2015-09-20,1.86
2015-09-27,1.71
2015-10-04,1.81
2015-10-11,1.61
2015-10-18,1.65
2015-10-25,1.8
2015-11-01,1.85
2015-11-08,1.74
2015-11-15,1.84
2015-11-22,1.84
2015-11-29,1.81
2015-12-06,1.8
2015-12-13,1.53
2015-12-20,1.8
2015-12-27,1.61
2016-01-03,1.57
2016-01-10,1.48
2016-01-17,1.73
2016-01-24,1.24
2016-01-31,1.46
2016-02-07,1.33
2016-02-14,1.31
2016-02-21,1.31
2016-02-28,1.45
2016-03-06,1.45
2016-03-13,1.26
2016-03-20,0.95
2016-03-27,1.31
2016-04-03,1.27
2016-04-10,1.42
2016-04-17,1.19
2016-04-24,1.12
2016-05-01,1.55
2016-05-08,1.28
2016-05-15,1.33
2016-05-22,0.88
2016-05-29,1.41
2016-06-05,0.73
2016-06-12,1.25
2016-06-19,1.03
2016-06-26,1.26
2016-07-03,1.05
2016-07-10,0.98
2016-07-17,1.14
2016-07-24,1.54
2016-07-31,1.35
2016-08-07,1.33
2016-08-14,1.45
2016-08-21,1.4
2016-08-28,1.14
2016-09-04,1.03
2016-09-11,0.93
2016-09-18,1.37
2016-09-25,1.08
2016-10-02,1.74
2016-10-09,0.91
2016-10-16,0.88
2016-10-23,1.06
2016-10-30,1.77
2016-11-06,0.79
2016-11-13,1.08
2016-11-20,1.05
2016-11-27,1.29
2016-12-04,1.36
2016-12-11,0.89
2016-12-18,1.5
2016-12-25,1.46
2017-01-01,1.77
2017-01-08,1.74
2017-01-15,1.88
2017-01-22,0.77
2017-01-29,1.54
2017-02-05,0.85
2017-02-12,0.82
2017-02-19,0.57
2017-02-26,0.57
2017-03-05,0.48
2017-03-12,0.7
2017-03-19,1.32
2017-03-26,0.65
2017-04-02,1.46
2017-04-09,0.9
2017-04-16,0.93
2017-04-23,1.79
2017-04-30,1.83
2017-05-07,1.81
2017-05-14,1.76
2017-05-21,1.5
2017-05-28,1.64
2017-06-04,1.75
2017-06-11,0.92
2017-06-18,1.51
2017-06-25,1.39
2017-07-02,1.44
2017-07-09,1.47
2017-07-16,1.6
2017-07-23,1.74
2017-07-30,1.61
