Date,AveragePrice
2015-01-04,1.6
2015-01-11,1.87
2015-01-18,1.88
2015-01-25,2.01
2015-02-01,1.98
2015-02-08,1.79
2015-02-15,1.88
2015-02-22,1.89
2015-03-01,1.84
2015-03-08,1.78
2015-03-15,1.87
2015-03-22,2.01
2015-03-29,1.87
2015-04-05,1.83
2015-04-12,1.86
2015-04-19,1.59
2015-04-26,1.79
2015-05-03,1.61
2015-05-10,1.22
2015-05-17,1.85
2015-05-24,1.83
2015-05-31,1.85
2015-06-07,1.7
2015-06-14,1.8
2015-06-21,1.93
2015-06-28,1.92
2015-07-05,1.84
2015-07-12,1.86
2015-07-19,1.9
2015-07-26,1.86
2015-08-02,1.63
2015-08-09,1.76
2015-08-16,1.64
2015-08-23,1.49
2015-08-30,1.68
2015-09-06,1.68
2015-09-13,1.68
2015-09-20,1.69
2015-09-27,1.68
2015-10-04,1.69
2015-10-11,1.74
2015-10-18,1.61
2015-10-25,1.57
2015-11-01,1.6
2015-11-08,1.64
2015-11-15,1.65
2015-11-22,1.66
2015-11-29,1.66
2015-12-06,1.64
2015-12-13,1.55
2015-12-20,1.66
2015-12-27,1.67
2016-01-03,1.45
2016-01-10,1.4
2016-01-17,1.53
2016-01-24,1.49
2016-01-31,1.54
2016-02-07,1.46
2016-02-14,1.36
2016-02-21,1.58
2016-02-28,1.43
2016-03-06,1.1
2016-03-13,1.33
2016-03-20,1.33
2016-03-27,1.53
2016-04-03,1.56
2016-04-10,1.34
2016-04-17,1.57
2016-04-24,1.47
2016-05-01,1.36
2016-05-08,1.56
2016-05-15,1.6
2016-05-22,1.75
2016-05-29,1.69
2016-06-05,1.28
2016-06-12,1.51
2016-06-19,1.67
2016-06-26,1.38
2016-07-03,1.8
2016-07-10,1.73
2016-07-17,1.82
2016-07-24,1.98
2016-07-31,1.86
2016-08-07,2.03
2016-08-14,1.93
2016-08-21,1.94
2016-08-28,1.8
2016-09-04,1.96
2016-09-11,1.91
2016-09-18,1.82
2016-09-25,2.16
2016-10-02,2.1
2016-10-09,1.99
2016-10-16,2.07
2016-10-23,2.17
2016-10-30,2.11
2016-11-06,2.17
2016-11-13,2.28
2016-11-20,2.26
2016-11-27,2.08
2016-12-04,1.32
2016-12-11,1.97
2016-12-18,2.11
2016-12-25,2.04
2017-01-01,1.79
2017-01-08,1.52
2017-01-15,1.75
2017-01-22,1.52
2017-01-29,1.67
2017-02-05,1.7
2017-02-12,1.27
2017-02-19,1.64
2017-02-26,1.57
2017-03-05,1.33
2017-03-12,1.94
2017-03-19,2.05
2017-03-26,2.05
2017-04-02,2.07
2017-04-09,2.0
2017-04-16,2.19
2017-04-23,2.13
2017-04-30,2.21
2017-05-07,2.32
2017-05-14,2.11
2017-05-21,2.34
2017-05-28,2.44
2017-06-04,2.33
2017-06-11,2.39
2017-06-18,2.62
2017-06-25,2.73
2017-07-02,1.97
2017-07-09,2.19
2017-07-16,1.32
2017-07-23,1.27
2017-07-30,1.33
