Date,AveragePrice
2015-01-04,2.32
2015-01-11,2.28
2015-01-18,2.35
2015-01-25,2.21
2015-02-01,1.54
2015-02-08,2.37
2015-02-15,2.13
2015-02-22,2.38
2015-03-01,2.17
2015-03-08,2.18
2015-03-15,2.26
2015-03-22,2.18
2015-03-29,2.27
2015-04-05,2.18
2015-04-12,2.16
2015-04-19,2.27
2015-04-26,2.24
2015-05-03,1.55
2015-05-10,2.31
2015-05-17,2.3
2015-05-24,2.36
2015-05-31,2.24
2015-06-07,2.34
2015-06-14,2.25
2015-06-21,2.4
2015-06-28,2.31
2015-07-05,2.4
2015-07-12,2.38
2015-07-19,2.45
2015-07-26,2.39
2015-08-02,2.42
2015-08-09,2.31
2015-08-16,2.39
2015-08-23,2.31
2015-08-30,2.33
2015-09-06,2.37
2015-09-13,2.36
2015-09-20,2.31
2015-09-27,2.41
2015-10-04,2.3
2015-10-11,2.27
2015-10-18,2.18
2015-10-25,1.98
2015-11-01,1.96
2015-11-08,2.14
2015-11-15,2.23
2015-11-22,2.31
2015-11-29,2.33
2015-12-06,2.16
2015-12-13,2.34
2015-12-20,2.24
2015-12-27,2.32
2016-01-03,1.51
2016-01-10,2.08
2016-01-17,2.21
2016-01-24,2.28
2016-01-31,2.27
2016-02-07,2.32
2016-02-14,2.31
2016-02-21,2.24
2016-02-28,2.28
2016-03-06,2.18
2016-03-13,2.18
2016-03-20,2.3
2016-03-27,2.18
2016-04-03,2.33
2016-04-10,2.31
2016-04-17,2.2
2016-04-24,2.24
2016-05-01,2.4
2016-05-08,2.16
2016-05-15,2.34
2016-05-22,2.36
2016-05-29,2.36
2016-06-05,2.27
2016-06-12,2.31
2016-06-19,2.31
2016-06-26,2.32
2016-07-03,2.33
2016-07-10,2.33
2016-07-17,2.39
2016-07-24,2.3
2016-07-31,2.19
2016-08-07,2.36
2016-08-14,2.19
2016-08-21,2.09
2016-08-28,2.23
2016-09-04,2.34
2016-09-11,2.27
2016-09-18,2.36
2016-09-25,2.34
2016-10-02,2.33
2016-10-09,2.34
2016-10-16,2.33
2016-10-23,1.98
2016-10-30,2.34
2016-11-06,2.57
2016-11-13,2.68
2016-11-20,2.3
2016-11-27,2.67
2016-12-04,2.42
2016-12-11,2.54
2016-12-18,2.36
2016-12-25,2.41
2017-01-01,2.44
2017-01-08,2.43
2017-01-15,2.43
2017-01-22,2.44
2017-01-29,2.43
2017-02-05,1.79
2017-02-12,2.35
2017-02-19,1.56
2017-02-26,2.18
2017-03-05,2.17
2017-03-12,2.57
2017-03-19,2.04
2017-03-26,2.48
2017-04-02,2.42
2017-04-09,2.6
2017-04-16,2.0
2017-04-23,2.49
2017-04-30,2.25
2017-05-07,2.51
2017-05-14,2.58
2017-05-21,2.62
2017-05-28,2.67
2017-06-04,2.5
2017-06-11,2.62
2017-06-18,2.14
2017-06-25,2.61
2017-07-02,2.67
2017-07-09,2.67
2017-07-16,1.94
2017-07-23,1.95
2017-07-30,2.1
