Date,AveragePrice
2015-01-04,1.82
2015-01-11,1.85
2015-01-18,1.87
2015-01-25,1.84
2015-02-01,1.73
2015-02-08,1.72
2015-02-15,1.75
2015-02-22,1.92
2015-03-01,1.75
2015-03-08,1.69
2015-03-15,1.73
2015-03-22,1.82
2015-03-29,1.83
2015-04-05,1.86
2015-04-12,1.81
2015-04-19,1.61
2015-04-26,1.25
2015-05-03,1.35
2015-05-10,1.77
2015-05-17,1.79
2015-05-24,1.77
2015-05-31,1.72
2015-06-07,1.75
2015-06-14,1.81
2015-06-21,1.92
2015-06-28,1.86
2015-07-05,1.88
2015-07-12,1.56
2015-07-19,1.45
2015-07-26,1.48
2015-08-02,1.51
2015-08-09,1.5
2015-08-16,1.51
2015-08-23,1.5
2015-08-30,1.47
2015-09-06,1.47
2015-09-13,1.43
2015-09-20,1.47
2015-09-27,1.5
2015-10-04,1.5
2015-10-11,1.51
2015-10-18,1.51
2015-10-25,1.5
2015-11-01,1.5
2015-11-08,1.59
2015-11-15,1.44
2015-11-22,1.11
2015-11-29,1.51
2015-12-06,1.49
2015-12-13,1.5
2015-12-20,1.5
2015-12-27,1.57
2016-01-03,1.24
2016-01-10,1.52
2016-01-17,1.49
2016-01-24,1.42
2016-01-31,1.54
2016-02-07,1.44
2016-02-14,1.45
2016-02-21,1.4
2016-02-28,1.51
2016-03-06,1.49
2016-03-13,1.3
2016-03-20,1.33
2016-03-27,1.33
2016-04-03,1.32
2016-04-10,1.33
2016-04-17,1.57
2016-04-24,1.39
2016-05-01,1.43
2016-05-08,1.48
2016-05-15,1.42
2016-05-22,1.4
2016-05-29,1.27
2016-06-05,1.29
2016-06-12,1.3
2016-06-19,1.29
2016-06-26,1.39
2016-07-03,1.24
2016-07-10,1.49
2016-07-17,1.33
2016-07-24,1.19
2016-07-31,1.22
2016-08-07,1.33
2016-08-14,1.34
2016-08-21,1.34
2016-08-28,1.36
2016-09-04,1.36
2016-09-11,1.36
2016-09-18,1.36
2016-09-25,1.43
2016-10-02,1.49
2016-10-09,1.45
2016-10-16,1.52
2016-10-23,1.58
2016-10-30,1.58
2016-11-06,1.64
2016-11-13,1.55
2016-11-20,1.6
2016-11-27,1.6
2016-12-04,1.52
2016-12-11,1.37
2016-12-18,1.17
2016-12-25,1.17
2017-01-01,1.21
2017-01-08,1.23
2017-01-15,1.19
2017-01-22,1.19
2017-01-29,1.23
2017-02-05,1.41
2017-02-12,1.29
2017-02-19,1.65
2017-02-26,2.43
2017-03-05,2.47
2017-03-12,3.05
2017-03-19,2.59
2017-03-26,1.74
2017-04-02,2.03
2017-04-09,2.32
2017-04-16,2.81
2017-04-23,2.36
2017-04-30,2.4
2017-05-07,2.08
2017-05-14,1.42
2017-05-21,1.58
2017-05-28,1.88
2017-06-04,1.97
2017-06-11,1.89
2017-06-18,1.88
2017-06-25,2.02
2017-07-02,1.92
2017-07-09,1.76
2017-07-16,1.44
2017-07-23,1.41
2017-07-30,1.38
