Date,AveragePrice
2015-01-04,1.72
2015-01-11,1.63
2015-01-18,1.93
2015-01-25,1.82
2015-02-01,1.69
2015-02-08,1.76
2015-02-15,1.68
2015-02-22,1.75
2015-03-01,1.83
2015-03-08,1.63
2015-03-15,1.7
2015-03-22,1.84
2015-03-29,1.83
2015-04-05,1.81
2015-04-12,1.73
2015-04-19,1.89
2015-04-26,1.86
2015-05-03,1.85
2015-05-10,1.79
2015-05-17,1.85
2015-05-24,1.9
2015-05-31,1.86
2015-06-07,1.94
2015-06-14,1.84
2015-06-21,2.05
2015-06-28,1.88
2015-07-05,2.03
2015-07-12,1.98
2015-07-19,1.97
2015-07-26,1.92
2015-08-02,1.94
2015-08-09,1.79
2015-08-16,2.06
2015-08-23,1.99
2015-08-30,1.93
2015-09-06,1.71
2015-09-13,1.95
2015-09-20,1.87
2015-09-27,2.21
2015-10-04,2.15
2015-10-11,1.62
2015-10-18,1.74
2015-10-25,1.86
2015-11-01,2.06
2015-11-08,1.87
2015-11-15,1.76
2015-11-22,1.55
2015-11-29,1.45
2015-12-06,1.35
2015-12-13,1.79
2015-12-20,1.83
2015-12-27,1.5
2016-01-03,1.53
2016-01-10,1.37
2016-01-17,1.68
2016-01-24,1.81
2016-01-31,1.53
2016-02-07,1.86
2016-02-14,2.07
2016-02-21,1.79
2016-02-28,1.62
2016-03-06,1.53
2016-03-13,1.59
2016-03-20,1.75
2016-03-27,1.95
2016-04-03,1.81
2016-04-10,1.95
2016-04-17,1.89
2016-04-24,1.9
2016-05-01,1.87
2016-05-08,1.86
2016-05-15,1.98
2016-05-22,1.97
2016-05-29,2.07
2016-06-05,1.91
2016-06-12,1.85
2016-06-19,2.19
2016-06-26,2.16
2016-07-03,2.16
2016-07-10,2.15
2016-07-17,2.16
2016-07-24,2.07
2016-07-31,2.2
2016-08-07,2.04
2016-08-14,2.06
2016-08-21,1.87
2016-08-28,2.06
2016-09-04,2.04
2016-09-11,2.08
2016-09-18,2.18
2016-09-25,2.24
2016-10-02,2.23
2016-10-09,2.17
2016-10-16,2.26
2016-10-23,2.06
2016-10-30,2.39
2016-11-06,2.32
2016-11-13,2.45
2016-11-20,1.9
2016-11-27,2.18
2016-12-04,2.01
2016-12-11,2.04
2016-12-18,1.87
2016-12-25,1.9
2017-01-01,1.98
2017-01-08,2.04
2017-01-15,2.0
2017-01-22,2.0
2017-01-29,1.9
2017-02-05,1.86
2017-02-12,1.91
2017-02-19,1.38
2017-02-26,1.68
2017-03-05,1.76
2017-03-12,2.33
2017-03-19,1.82
2017-03-26,2.18
2017-04-02,1.88
2017-04-09,2.23
2017-04-16,1.9
2017-04-23,2.17
2017-04-30,1.93
2017-05-07,2.25
2017-05-14,2.29
2017-05-21,2.25
2017-05-28,2.22
2017-06-04,2.01
2017-06-11,2.24
2017-06-18,1.89
2017-06-25,2.22
2017-07-02,2.33
2017-07-09,2.36
2017-07-16,1.63
2017-07-23,1.59
2017-07-30,1.74
