Date,AveragePrice
2015-01-04,1.23
2015-01-11,1.05
2015-01-18,1.29
2015-01-25,1.26
2015-02-01,1.11
2015-02-08,1.29
2015-02-15,1.49
2015-02-22,1.44
2015-03-01,1.09
2015-03-08,1.48
2015-03-15,1.49
2015-03-22,1.16
2015-03-29,1.53
2015-04-05,1.53
2015-04-12,1.49
2015-04-19,1.52
2015-04-26,1.48
2015-05-03,1.41
2015-05-10,1.45
2015-05-17,1.48
2015-05-24,1.51
2015-05-31,1.49
2015-06-07,1.51
2015-06-14,1.53
2015-06-21,1.56
2015-06-28,1.55
2015-07-05,1.55
2015-07-12,1.81
2015-07-19,1.85
2015-07-26,1.71
2015-08-02,1.86
2015-08-09,1.82
2015-08-16,1.82
2015-08-23,1.74
2015-08-30,1.88
2015-09-06,1.85
2015-09-13,1.81
2015-09-20,1.69
2015-09-27,1.7
2015-10-04,1.85
2015-10-11,1.82
2015-10-18,1.85
2015-10-25,1.65
2015-11-01,1.64
2015-11-08,1.82
2015-11-15,1.68
2015-11-22,1.85
2015-11-29,1.87
2015-12-06,1.83
2015-12-13,1.27
2015-12-20,1.23
2015-12-27,1.62
2016-01-03,1.41
2016-01-10,1.32
2016-01-17,1.46
2016-01-24,1.31
2016-01-31,1.4
2016-02-07,1.32
2016-02-14,1.42
2016-02-21,1.25
2016-02-28,1.12
2016-03-06,1.21
2016-03-13,1.38
2016-03-20,1.4
2016-03-27,1.35
2016-04-03,1.25
2016-04-10,1.23
2016-04-17,1.29
2016-04-24,1.22
2016-05-01,1.37
2016-05-08,1.37
2016-05-15,1.53
2016-05-22,1.15
2016-05-29,1.44
2016-06-05,1.52
2016-06-12,1.45
2016-06-19,1.46
2016-06-26,1.52
2016-07-03,1.49
2016-07-10,1.43
2016-07-17,1.91
2016-07-24,1.69
2016-07-31,1.97
2016-08-07,1.48
2016-08-14,1.91
2016-08-21,1.92
2016-08-28,1.89
2016-09-04,1.79
2016-09-11,1.59
2016-09-18,2.15
2016-09-25,2.35
2016-10-02,1.99
2016-10-09,2.22
2016-10-16,2.28
2016-10-23,2.73
2016-10-30,2.74
2016-11-06,2.51
2016-11-13,2.1
2016-11-20,2.22
2016-11-27,2.12
2016-12-04,2.06
2016-12-11,1.49
2016-12-18,1.63
2016-12-25,1.43
2017-01-01,1.45
2017-01-08,1.52
2017-01-15,1.82
2017-01-22,1.73
2017-01-29,1.21
2017-02-05,1.55
2017-02-12,1.66
2017-02-19,1.4
2017-02-26,1.42
2017-03-05,1.42
2017-03-12,1.72
2017-03-19,1.59
2017-03-26,2.06
2017-04-02,1.88
2017-04-09,1.94
2017-04-16,2.08
2017-04-23,1.97
2017-04-30,1.83
2017-05-07,1.72
2017-05-14,2.22
2017-05-21,2.05
2017-05-28,1.91
2017-06-04,1.71
2017-06-11,2.06
2017-06-18,1.8
2017-06-25,1.73
2017-07-02,2.0
2017-07-09,1.91
2017-07-16,2.3
2017-07-23,2.31
2017-07-30,2.37
