Date,AveragePrice
2015-01-04,1.18
2015-01-11,1.12
2015-01-18,1.27
2015-01-25,1.34
2015-02-01,1.06
2015-02-08,1.35
2015-02-15,1.55
2015-02-22,1.39
2015-03-01,1.09
2015-03-08,1.56
2015-03-15,1.56
2015-03-22,1.34
2015-03-29,1.55
2015-04-05,1.55
2015-04-12,1.54
2015-04-19,1.55
2015-04-26,1.52
2015-05-03,1.55
2015-05-10,1.48
2015-05-17,1.53
2015-05-24,1.52
2015-05-31,1.54
2015-06-07,1.96
2015-06-14,1.95
2015-06-21,1.95
2015-06-28,1.96
2015-07-05,1.96
2015-07-12,2.09
2015-07-19,2.36
2015-07-26,2.75
2015-08-02,2.76
2015-08-09,2.72
2015-08-16,2.73
2015-08-23,2.71
2015-08-30,2.77
2015-09-06,2.73
2015-09-13,2.73
2015-09-20,2.79
2015-09-27,2.74
2015-10-04,2.59
2015-10-11,2.66
2015-10-18,2.79
2015-10-25,1.94
2015-11-01,2.01
2015-11-08,1.98
2015-11-15,2.02
2015-11-22,2.04
2015-11-29,2.58
2015-12-06,1.92
2015-12-13,1.94
2015-12-20,1.87
2015-12-27,1.88
2016-01-03,1.93
2016-01-10,1.93
2016-01-17,1.95
2016-01-24,1.89
2016-01-31,2.3
2016-02-07,1.93
2016-02-14,2.37
2016-02-21,2.38
2016-02-28,2.29
2016-03-06,2.31
2016-03-13,2.27
2016-03-20,2.33
2016-03-27,2.23
2016-04-03,2.3
2016-04-10,2.33
2016-04-17,2.33
2016-04-24,2.21
2016-05-01,1.33
2016-05-08,1.32
2016-05-15,2.27
2016-05-22,2.34
2016-05-29,2.34
2016-06-05,2.3
2016-06-12,2.25
2016-06-19,2.31
2016-06-26,2.21
2016-07-03,2.31
2016-07-10,2.32
2016-07-17,2.3
2016-07-24,2.37
2016-07-31,2.29
2016-08-07,2.33
2016-08-14,2.02
2016-08-21,2.37
2016-08-28,2.38
2016-09-04,2.38
2016-09-11,2.37
2016-09-18,2.39
2016-09-25,2.35
2016-10-02,2.64
2016-10-09,2.72
2016-10-16,2.34
2016-10-23,2.93
2016-10-30,3.25
2016-11-06,3.12
2016-11-13,2.99
2016-11-20,2.94
2016-11-27,2.88
2016-12-04,2.67
2016-12-11,2.67
2016-12-18,2.57
2016-12-25,2.56
2017-01-01,2.54
2017-01-08,2.58
2017-01-15,2.7
2017-01-22,2.03
2017-01-29,2.7
2017-02-05,1.61
2017-02-12,2.59
2017-02-19,2.58
2017-02-26,2.52
2017-03-05,2.92
2017-03-12,2.9
2017-03-19,2.88
2017-03-26,2.83
2017-04-02,2.59
2017-04-09,2.54
2017-04-16,2.59
2017-04-23,2.56
2017-04-30,2.58
2017-05-07,2.54
2017-05-14,2.64
2017-05-21,2.65
2017-05-28,2.73
2017-06-04,2.72
2017-06-11,2.77
2017-06-18,2.76
2017-06-25,2.66
2017-07-02,2.59
2017-07-09,2.45
2017-07-16,2.4
2017-07-23,2.44
2017-07-30,2.14
