Date,AveragePrice
2015-01-04,1.35
2015-01-11,1.39
2015-01-18,1.27
2015-01-25,1.37
2015-02-01,1.28
2015-02-08,1.39
2015-02-15,1.39
2015-02-22,1.37
2015-03-01,1.34
2015-03-08,1.44
2015-03-15,1.38
2015-03-22,1.37
2015-03-29,1.42
2015-04-05,1.4
2015-04-12,1.4
2015-04-19,1.39
2015-04-26,1.43
2015-05-03,1.43
2015-05-10,1.4
2015-05-17,1.41
2015-05-24,1.39
2015-05-31,1.41
2015-06-07,1.37
2015-06-14,1.38
2015-06-21,1.4
2015-06-28,1.35
2015-07-05,1.34
2015-07-12,1.27
2015-07-19,1.31
2015-07-26,1.26
2015-08-02,1.37
2015-08-09,1.42
2015-08-16,1.45
2015-08-23,1.39
2015-08-30,1.33
2015-09-06,1.49
2015-09-13,1.5
2015-09-20,1.53
2015-09-27,1.53
2015-10-04,1.55
2015-10-11,1.51
2015-10-18,1.49
2015-10-25,1.52
2015-11-01,1.51
2015-11-08,1.51
2015-11-15,1.5
2015-11-22,1.53
2015-11-29,1.47
2015-12-06,1.49
2015-12-13,1.43
2015-12-20,1.41
2015-12-27,1.39
2016-01-03,1.38
2016-01-10,1.38
2016-01-17,1.33
2016-01-24,1.35
2016-01-31,1.41
2016-02-07,1.35
2016-02-14,1.31
2016-02-21,1.28
2016-02-28,1.24
2016-03-06,1.21
2016-03-13,1.24
2016-03-20,1.23
2016-03-27,1.25
2016-04-03,1.22
2016-04-10,1.21
2016-04-17,1.15
2016-04-24,1.11
2016-05-01,1.13
2016-05-08,1.07
2016-05-15,1.11
2016-05-22,1.05
2016-05-29,1.07
2016-06-05,1.1
2016-06-12,1.11
2016-06-19,1.14
2016-06-26,1.17
2016-07-03,1.13
2016-07-10,1.18
2016-07-17,1.21
2016-07-24,1.21
2016-07-31,1.22
2016-08-07,1.26
2016-08-14,0.98
2016-08-21,0.97
2016-08-28,1.04
2016-09-04,1.08
2016-09-11,1.07
2016-09-18,1.14
2016-09-25,1.15
2016-10-02,1.14
2016-10-09,1.09
2016-10-16,1.09
2016-10-23,1.41
2016-10-30,1.48
2016-11-06,1.44
2016-11-13,1.24
2016-11-20,1.22
2016-11-27,1.18
2016-12-04,1.21
2016-12-11,1.12
2016-12-18,1.1
2016-12-25,1.21
2017-01-01,1.23
2017-01-08,1.1
2017-01-15,1.06
2017-01-22,1.02
2017-01-29,1.08
2017-02-05,1.12
2017-02-12,1.12
2017-02-19,1.0
2017-02-26,0.99
2017-03-05,0.99
2017-03-12,1.04
2017-03-19,1.03
2017-03-26,1.03
2017-04-02,1.14
2017-04-09,1.06
2017-04-16,1.04
2017-04-23,1.19
2017-04-30,1.31
2017-05-07,1.34
2017-05-14,1.46
2017-05-21,1.45
2017-05-28,1.19
2017-06-04,1.13
2017-06-11,1.17
2017-06-18,1.27
2017-06-25,1.36
2017-07-02,1.17
2017-07-09,1.13
2017-07-16,1.46
2017-07-23,1.52
2017-07-30,1.52
