Date,AveragePrice
2015-01-04,1.75
2015-01-11,1.83
2015-01-18,1.79
2015-01-25,1.81
2015-02-01,1.6
2015-02-08,1.51
2015-02-15,1.64
2015-02-22,1.59
2015-03-01,1.46
2015-03-08,1.47
2015-03-15,1.48
2015-03-22,1.73
2015-03-29,1.84
2015-04-05,1.78
2015-04-12,1.82
2015-04-19,1.69
2015-04-26,1.7
2015-05-03,1.7
2015-05-10,1.77
2015-05-17,1.7
2015-05-24,1.78
2015-05-31,1.81
2015-06-07,1.75
2015-06-14,1.87
2015-06-21,1.88
2015-06-28,1.74
2015-07-05,1.72
2015-07-12,1.72
2015-07-19,1.53
2015-07-26,1.67
2015-08-02,1.88
2015-08-09,1.9
2015-08-16,1.75
2015-08-23,1.71
2015-08-30,1.74
2015-09-06,1.9
2015-09-13,1.95
2015-09-20,1.92
2015-09-27,2.01
2015-10-04,1.84
2015-10-11,1.78
2015-10-18,1.91
2015-10-25,1.78
2015-11-01,1.73
2015-11-08,1.73
2015-11-15,1.75
2015-11-22,1.81
2015-11-29,1.63
2015-12-06,1.66
2015-12-13,1.74
2015-12-20,1.8
2015-12-27,1.7
2016-01-03,1.32
2016-01-10,1.64
2016-01-17,1.69
2016-01-24,1.55
2016-01-31,1.63
2016-02-07,1.61
2016-02-14,1.57
2016-02-21,1.61
2016-02-28,1.66
2016-03-06,1.61
2016-03-13,1.45
2016-03-20,1.46
2016-03-27,1.48
2016-04-03,1.49
2016-04-10,1.44
2016-04-17,1.48
2016-04-24,1.47
2016-05-01,1.44
2016-05-08,1.53
2016-05-15,1.44
2016-05-22,1.44
2016-05-29,1.41
2016-06-05,1.31
2016-06-12,1.31
2016-06-19,1.22
2016-06-26,1.31
2016-07-03,1.16
2016-07-10,1.4
2016-07-17,1.45
2016-07-24,1.67
2016-07-31,1.62
2016-08-07,1.39
2016-08-14,1.63
2016-08-21,1.65
2016-08-28,1.41
2016-09-04,1.54
2016-09-11,1.5
2016-09-18,1.58
2016-09-25,1.81
2016-10-02,2.13
2016-10-09,1.44
2016-10-16,1.35
2016-10-23,1.36
2016-10-30,1.75
2016-11-06,1.62
2016-11-13,1.58
2016-11-20,1.58
2016-11-27,1.55
2016-12-04,1.44
2016-12-11,1.29
2016-12-18,1.26
2016-12-25,1.41
2017-01-01,1.43
2017-01-08,1.41
2017-01-15,1.36
2017-01-22,1.36
2017-01-29,1.43
2017-02-05,1.54
2017-02-12,1.29
2017-02-19,1.39
2017-02-26,1.12
2017-03-05,1.11
2017-03-12,1.41
2017-03-19,1.58
2017-03-26,1.48
2017-04-02,1.51
2017-04-09,1.34
2017-04-16,1.78
2017-04-23,1.87
2017-04-30,1.9
2017-05-07,1.58
2017-05-14,1.78
2017-05-21,1.67
2017-05-28,1.81
2017-06-04,1.82
2017-06-11,1.43
2017-06-18,1.77
2017-06-25,1.67
2017-07-02,1.8
2017-07-09,1.72
2017-07-16,1.78
2017-07-23,1.72
2017-07-30,1.63
