Date,AveragePrice
2015-01-04,1.7
2015-01-11,1.84
2015-01-18,1.73
2015-01-25,1.75
2015-02-01,1.68
2015-02-08,1.65
2015-02-15,1.75
2015-02-22,1.68
2015-03-01,1.63
2015-03-08,1.65
2015-03-15,1.68
2015-03-22,1.68
2015-03-29,1.73
2015-04-05,1.72
2015-04-12,1.69
2015-04-19,1.48
2015-04-26,1.31
2015-05-03,1.34
2015-05-10,1.69
2015-05-17,1.69
2015-05-24,1.7
2015-05-31,1.72
2015-06-07,1.71
2015-06-14,1.73
2015-06-21,1.84
2015-06-28,1.81
2015-07-05,1.9
2015-07-12,1.63
2015-07-19,1.42
2015-07-26,1.49
2015-08-02,1.5
2015-08-09,1.5
2015-08-16,1.5
2015-08-23,1.5
2015-08-30,1.48
2015-09-06,1.49
2015-09-13,1.43
2015-09-20,1.46
2015-09-27,1.31
2015-10-04,1.47
2015-10-11,1.5
2015-10-18,1.49
2015-10-25,1.49
2015-11-01,1.5
2015-11-08,1.74
2015-11-15,1.75
2015-11-22,1.78
2015-11-29,1.73
2015-12-06,1.76
2015-12-13,1.76
2015-12-20,1.79
2015-12-27,1.63
2016-01-03,1.08
2016-01-10,1.6
2016-01-17,1.59
2016-01-24,1.44
2016-01-31,1.6
2016-02-07,1.49
2016-02-14,1.48
2016-02-21,1.46
2016-02-28,1.55
2016-03-06,1.5
2016-03-13,1.28
2016-03-20,1.34
2016-03-27,1.33
2016-04-03,1.37
2016-04-10,1.31
2016-04-17,1.47
2016-04-24,1.47
2016-05-01,1.49
2016-05-08,1.51
2016-05-15,1.5
2016-05-22,1.46
2016-05-29,1.33
2016-06-05,1.36
2016-06-12,1.42
2016-06-19,1.36
2016-06-26,1.5
2016-07-03,1.3
2016-07-10,1.44
2016-07-17,1.44
2016-07-24,1.2
2016-07-31,1.24
2016-08-07,1.35
2016-08-14,1.35
2016-08-21,1.36
2016-08-28,1.39
2016-09-04,1.37
2016-09-11,1.35
2016-09-18,1.35
2016-09-25,1.51
2016-10-02,2.29
2016-10-09,1.58
2016-10-16,1.4
2016-10-23,1.49
2016-10-30,1.47
2016-11-06,1.52
2016-11-13,1.49
2016-11-20,1.5
2016-11-27,1.47
2016-12-04,1.45
2016-12-11,1.37
2016-12-18,1.22
2016-12-25,1.21
2017-01-01,1.22
2017-01-08,1.21
2017-01-15,1.21
2017-01-22,1.2
2017-01-29,1.43
2017-02-05,1.93
2017-02-12,1.44
2017-02-19,1.81
2017-02-26,2.14
2017-03-05,2.61
2017-03-12,2.56
2017-03-19,1.97
2017-03-26,1.52
2017-04-02,1.93
2017-04-09,2.27
2017-04-16,3.17
2017-04-23,1.94
2017-04-30,2.18
2017-05-07,1.64
2017-05-14,1.96
2017-05-21,1.76
2017-05-28,1.79
2017-06-04,1.99
2017-06-11,1.86
2017-06-18,2.07
2017-06-25,2.09
2017-07-02,2.08
2017-07-09,1.68
2017-07-16,1.56
2017-07-23,1.55
2017-07-30,1.57
