Date,AveragePrice
2015-01-04,1.4
2015-01-11,1.39
2015-01-18,1.33
2015-01-25,1.52
2015-02-01,1.34
2015-02-08,1.4
2015-02-15,1.58
2015-02-22,1.48
2015-03-01,1.4
2015-03-08,1.37
2015-03-15,1.41
2015-03-22,1.43
2015-03-29,1.54
2015-04-05,1.69
2015-04-12,1.5
2015-04-19,1.58
2015-04-26,1.27
2015-05-03,1.24
2015-05-10,1.47
2015-05-17,1.49
2015-05-24,1.6
2015-05-31,1.53
2015-06-07,1.74
2015-06-14,1.71
2015-06-21,1.57
2015-06-28,1.59
2015-07-05,1.71
2015-07-12,1.81
2015-07-19,1.56
2015-07-26,1.86
2015-08-02,1.81
2015-08-09,1.77
2015-08-16,1.67
2015-08-23,1.75
2015-08-30,1.54
2015-09-06,1.83
2015-09-13,1.83
2015-09-20,1.73
2015-09-27,1.65
2015-10-04,1.61
2015-10-11,1.66
2015-10-18,1.69
2015-10-25,1.59
2015-11-01,1.23
2015-11-08,1.36
2015-11-15,1.61
2015-11-22,1.29
2015-11-29,1.26
2015-12-06,1.39
2015-12-13,1.16
2015-12-20,1.45
2015-12-27,1.46
2016-01-03,1.41
2016-01-10,1.09
2016-01-17,1.27
2016-01-24,1.27
2016-01-31,1.23
2016-02-07,1.22
2016-02-14,1.07
2016-02-21,1.37
2016-02-28,1.42
2016-03-06,0.96
2016-03-13,1.0
2016-03-20,0.99
2016-03-27,1.39
2016-04-03,1.27
2016-04-10,0.99
2016-04-17,1.31
2016-04-24,1.01
2016-05-01,1.01
2016-05-08,1.08
2016-05-15,1.39
2016-05-22,1.27
2016-05-29,1.37
2016-06-05,1.58
2016-06-12,1.6
2016-06-19,1.49
2016-06-26,1.56
2016-07-03,1.47
2016-07-10,1.54
2016-07-17,1.85
2016-07-24,1.88
2016-07-31,1.65
2016-08-07,1.7
2016-08-14,1.75
2016-08-21,1.82
2016-08-28,1.92
2016-09-04,1.61
2016-09-11,1.48
2016-09-18,1.59
2016-09-25,1.78
2016-10-02,1.59
2016-10-09,1.68
2016-10-16,1.56
2016-10-23,1.92
2016-10-30,2.16
2016-11-06,1.84
2016-11-13,1.81
2016-11-20,1.66
2016-11-27,1.52
2016-12-04,1.31
2016-12-11,1.34
2016-12-18,1.23
2016-12-25,0.91
2017-01-01,1.19
2017-01-08,1.09
2017-01-15,1.06
2017-01-22,1.2
2017-01-29,1.29
2017-02-05,1.15
2017-02-12,1.52
2017-02-19,1.49
2017-02-26,1.14
2017-03-05,0.99
2017-03-12,1.16
2017-03-19,1.24
2017-03-26,0.9
2017-04-02,0.98
2017-04-09,1.18
2017-04-16,1.23
2017-04-23,1.26
2017-04-30,1.4
2017-05-07,1.19
2017-05-14,1.1
2017-05-21,1.52
2017-05-28,1.48
2017-06-04,1.52
2017-06-11,1.59
2017-06-18,1.68
2017-06-25,1.93
2017-07-02,1.88
2017-07-09,1.85
2017-07-16,2.22
2017-07-23,2.16
2017-07-30,2.1
